"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",4.5,5,9,5.5,0.505092592592593,0.555555555555556,1,0.618055555555556,"KM","KM"
"2","Br1 1","Br10 1",0.366666666666667,0,3,1.33333333333333,0.0402777777777778,0.00694444444444445,0.333333333333333,0.150462962962963,"KNM","KNM"
"3","Br1 1","Br10 2",0.333333333333333,0,2,1,0.037962962962963,0,0.222222222222222,0.113425925925926,"KNM","KNM"
"4","Br1 1","Br2 1",0.6,0,3,1.5,0.0722222222222222,0,0.375,0.173611111111111,"KNM","KNM"
"5","Br1 1","Br2 2",0.9,0,4,1.66666666666667,0.099537037037037,0.00694444444444445,0.444444444444444,0.1875,"KNM","KNM"
"6","Br1 1","Br3 1",0.2,0,2,1.2,0.025,0,0.25,0.138888888888889,"KNM","KNM"
"7","Br1 1","Br3 2",0.433333333333333,0,3,1.5,0.0513888888888889,0.00694444444444445,0.333333333333333,0.171296296296296,"KNM","KNM"
"8","Br1 1","Br4 1",0.366666666666667,0,3,1.33333333333333,0.0449074074074074,0,0.375,0.155092592592593,"KNM","KNM"
"9","Br1 1","Br4 2",0.266666666666667,0,2,1.16666666666667,0.0287037037037037,0,0.25,0.131944444444444,"KNM","KNM"
"10","Br1 1","Br5 1",0.933333333333333,1,4,2,0.104166666666667,0.111111111111111,0.444444444444444,0.224537037037037,"KNM","KNM"
"11","Br1 1","Br5 2",0.733333333333333,0,3,1.5,0.0805555555555556,0.00694444444444445,0.375,0.168981481481481,"KNM","KNM"
"12","Br1 1","Br6 1",0.5,0.5,3,1.66666666666667,0.0555555555555556,0.0625,0.333333333333333,0.1875,"KNM","KNM"
"13","Br1 1","Br6 2",0.44,0,2,1.4,0.05,0.0138888888888889,0.222222222222222,0.158333333333333,"KNM","KNM"
"14","Br1 1","Br7 1",0.2,0.5,3,1.33333333333333,0.0226851851851852,0.0625,0.333333333333333,0.150462962962963,"KNM","KNM"
"15","Br1 1","Br7 2",0.433333333333333,0.5,3,1.5,0.0532407407407407,0.0555555555555556,0.375,0.173611111111111,"KNM","KNM"
"16","Br1 1","Br8 1",0.3,0,3,1.33333333333333,0.0333333333333333,0.00694444444444445,0.333333333333333,0.150462962962963,"KNM","KNM"
"17","Br1 1","Br8 2",0.5,0.5,2,1.5,0.0578703703703704,0.0555555555555556,0.25,0.171296296296296,"KNM","KNM"
"18","Br1 1","Br9 1",0.7,0.5,3,1.5,0.0773148148148148,0.0625,0.333333333333333,0.168981481481481,"KNM","KNM"
"19","Br1 1","Br9 2",0.32,0,2,1.2,0.0388888888888889,0.0138888888888889,0.25,0.138888888888889,"KNM","KNM"
"20","Br1 1","Ukn B",0.24,0,3,1,0.03,0,0.333333333333333,0.116666666666667,"Ukn","KNM"
"21","Br1 1","Ukn C",5.36666666666667,5.5,9,6.16666666666667,0.600925925925926,0.611111111111111,1,0.69212962962963,"Ukn","KM"
"22","Br1 1","Ukn D",0.166666666666667,0,3,1.16666666666667,0.0185185185185185,0.00694444444444445,0.333333333333333,0.131944444444444,"Ukn","KNM"
"23","Br1 1","Ukn E",0.4,0.5,2,1.33333333333333,0.0449074074074074,0.0625,0.222222222222222,0.150462962962963,"Ukn","KNM"
"24","Br1 1","Ukn F",5.23333333333333,5.5,9,6.33333333333333,0.584259259259259,0.611111111111111,1,0.708333333333333,"Ukn","KM"
"25","Br1 1","Ukn H",0.2,0,3,1.16666666666667,0.0268518518518518,0,0.375,0.136574074074074,"Ukn","KNM"
"26","Br1 1","Ukn J",0.266666666666667,0,3,1.33333333333333,0.0300925925925926,0.00694444444444445,0.333333333333333,0.150462962962963,"Ukn","KNM"
"27","Br1 1","Ukn L",0.5,0.5,3,1.5,0.0569444444444444,0.0555555555555556,0.375,0.171296296296296,"Ukn","KNM"
"28","Br1 1","Ukn M",0.2,0,2,1.16666666666667,0.0222222222222222,0.00694444444444445,0.222222222222222,0.131944444444444,"Ukn","KNM"
"29","Br1 1","Ukn Q",0.36,0,2,1.2,0.0383333333333333,0,0.222222222222222,0.133333333333333,"Ukn","KNM"
"30","Br1 1","Ukn S",0.1,0,3,1,0.012037037037037,0,0.333333333333333,0.113425925925926,"Ukn","KNM"
"31","Br1 1","Ukn U",0.366666666666667,0,3,1.33333333333333,0.0453703703703704,0.00694444444444445,0.375,0.155092592592593,"Ukn","KNM"
