"","bullet1","bullet2","rf.diff","rf.diff.med","rf.max","rf.maxbar","type","type_truth"
"1","Barrel 1 Bullet 1","Barrel 1 Bullet 2",0.9384,0.983,0.998,0.980666666666667,"KM","KM"
"2","Barrel 1 Bullet 1","Barrel 10 Bullet 1",0.0262666666666667,0.022,0.136,0.0496666666666667,"KNM","KNM"
"3","Barrel 1 Bullet 1","Barrel 10 Bullet 2",0.02528,0.006,0.18,0.0476,"KNM","KNM"
"4","Barrel 1 Bullet 1","Barrel 2 Bullet 1",0.0273333333333333,0.027,0.106,0.0483333333333333,"KNM","KNM"
"5","Barrel 1 Bullet 1","Barrel 2 Bullet 2",0.04168,0.02,0.176,0.0676,"KNM","KNM"
"6","Barrel 1 Bullet 1","Barrel 3 Bullet 1",0.0949,0.011,0.412,0.1115,"KNM","KNM"
"7","Barrel 1 Bullet 1","Barrel 3 Bullet 2",0.0288666666666667,0.007,0.236,0.0563333333333333,"KNM","KNM"
"8","Barrel 1 Bullet 1","Barrel 4 Bullet 1",0.0902666666666667,0.019,0.276,0.101333333333333,"KNM","KNM"
"9","Barrel 1 Bullet 1","Barrel 4 Bullet 2",0.0283333333333333,0.008,0.188,0.0446666666666667,"KNM","KNM"
"10","Barrel 1 Bullet 1","Barrel 5 Bullet 1",0.0602,0.073,0.158,0.0836666666666667,"KNM","KNM"
"11","Barrel 1 Bullet 1","Barrel 5 Bullet 2",0.0275333333333333,0.012,0.146,0.0456666666666667,"KNM","KNM"
"12","Barrel 1 Bullet 1","Barrel 6 Bullet 1",0.0310666666666667,0.025,0.176,0.0566666666666667,"KNM","KNM"
"13","Barrel 1 Bullet 1","Barrel 6 Bullet 2",0.0621333333333333,0.016,0.372,0.0896666666666667,"KNM","KNM"
"14","Barrel 1 Bullet 1","Barrel 7 Bullet 1",0.0145333333333333,0.01,0.122,0.031,"KNM","KNM"
"15","Barrel 1 Bullet 1","Barrel 7 Bullet 2",0.0336666666666667,0.017,0.136,0.0473333333333333,"KNM","KNM"
"16","Barrel 1 Bullet 1","Barrel 8 Bullet 1",0.04384,0.01,0.192,0.0776,"KNM","KNM"
"17","Barrel 1 Bullet 1","Barrel 8 Bullet 2",0.0551333333333333,0.06,0.41,0.0913333333333333,"KNM","KNM"
"18","Barrel 1 Bullet 1","Barrel 9 Bullet 1",0.0447333333333333,0.031,0.134,0.0623333333333333,"KNM","KNM"
"19","Barrel 1 Bullet 1","Barrel 9 Bullet 2",0.0829333333333333,0.01,0.508,0.105,"KNM","KNM"
"20","Barrel 1 Bullet 1","Unknowns Bullet 'E'",0.08048,0.016,0.496,0.1036,"UKN","KNM"
"21","Barrel 1 Bullet 1","Unknowns Bullet 'F'",0.0525333333333333,0.019,0.252,0.077,"UKN","KNM"
"22","Barrel 1 Bullet 1","Unknowns Bullet 'G'",0.0532,0.029,0.188,0.0746666666666667,"UKN","KNM"
"23","Barrel 1 Bullet 1","Unknowns Bullet 'H'",0.057,0.025,0.292,0.087,"UKN","KNM"
"24","Barrel 1 Bullet 1","Unknowns Bullet 'I'",0.06632,0.012,0.338,0.0828,"UKN","KNM"
"25","Barrel 1 Bullet 1","Unknowns Bullet 'J'",0.0156666666666667,0.009,0.124,0.036,"UKN","KNM"
"26","Barrel 1 Bullet 1","Unknowns Bullet 'K'",0.8386,0.872,0.998,0.866,"UKN","KM"
"27","Barrel 1 Bullet 1","Unknowns Bullet 'L'",0.039,0.015,0.32,0.0706666666666667,"UKN","KNM"
"28","Barrel 1 Bullet 1","Unknowns Bullet 'O'",0.0914,0.012,0.456,0.115333333333333,"UKN","KNM"
"29","Barrel 1 Bullet 1","Unknowns Bullet 'P'",0.0292666666666667,0.007,0.256,0.0516666666666667,"UKN","KNM"
"30","Barrel 1 Bullet 1","Unknowns Bullet 'S'",0.0370666666666667,0.024,0.252,0.0636666666666667,"UKN","KNM"
"31","Barrel 1 Bullet 1","Unknowns Bullet 'T'",0.0102,0.011,0.076,0.0243333333333333,"UKN","KNM"
"32","Barrel 1 Bullet 1","Unknowns Bullet 'U'",0.0517333333333333,0.022,0.226,0.077,"UKN","KNM"
"33","Barrel 1 Bullet 1","Unknowns Bullet 'X'",0.0104,0.009,0.088,0.0263333333333333,"UKN","KNM"
"34","Barrel 1 Bullet 1","Unknowns Bullet 'Y'",0.0164,0.012,0.284,0.0563333333333333,"UKN","KNM"
"35","Barrel 1 Bullet 2","Barrel 10 Bullet 1",0.0484,0.028,0.424,0.092,"KNM","KNM"
"36","Barrel 1 Bullet 2","Barrel 10 Bullet 2",0.08776,0.03,0.53,0.134,"KNM","KNM"
"37","Barrel 1 Bullet 2","Barrel 2 Bullet 1",0.0476666666666667,0.014,0.3,0.0766666666666667,"KNM","KNM"
"38","Barrel 1 Bullet 2","Barrel 2 Bullet 2",0.07192,0.01,0.37,0.0872,"KNM","KNM"
"39","Barrel 1 Bullet 2","Barrel 3 Bullet 1",0.0358,0.025,0.142,0.056,"KNM","KNM"
"40","Barrel 1 Bullet 2","Barrel 3 Bullet 2",0.0530666666666667,0.01,0.274,0.0766666666666667,"KNM","KNM"
"41","Barrel 1 Bullet 2","Barrel 4 Bullet 1",0.0112666666666667,0.014,0.128,0.03,"KNM","KNM"
"42","Barrel 1 Bullet 2","Barrel 4 Bullet 2",0.0222,0.021,0.174,0.041,"KNM","KNM"
"43","Barrel 1 Bullet 2","Barrel 5 Bullet 1",0.0799333333333333,0.029,0.512,0.145333333333333,"KNM","KNM"
"44","Barrel 1 Bullet 2","Barrel 5 Bullet 2",0.0320666666666667,0.009,0.314,0.0673333333333333,"KNM","KNM"
"45","Barrel 1 Bullet 2","Barrel 6 Bullet 1",0.0206,0.004,0.076,0.0376666666666667,"KNM","KNM"
"46","Barrel 1 Bullet 2","Barrel 6 Bullet 2",0.0206,0.022,0.266,0.0496666666666667,"KNM","KNM"
"47","Barrel 1 Bullet 2","Barrel 7 Bullet 1",0.0502,0.017,0.302,0.078,"KNM","KNM"
"48","Barrel 1 Bullet 2","Barrel 7 Bullet 2",0.0197333333333333,0.005,0.222,0.051,"KNM","KNM"
"49","Barrel 1 Bullet 2","Barrel 8 Bullet 1",0.04088,0.028,0.272,0.0668,"KNM","KNM"
"50","Barrel 1 Bullet 2","Barrel 8 Bullet 2",0.0624666666666667,0.015,0.462,0.0873333333333333,"KNM","KNM"
"51","Barrel 1 Bullet 2","Barrel 9 Bullet 1",0.0758,0.017,0.426,0.0876666666666667,"KNM","KNM"
"52","Barrel 1 Bullet 2","Barrel 9 Bullet 2",0.0132,0.023,0.132,0.0356666666666667,"KNM","KNM"
"53","Barrel 1 Bullet 2","Unknowns Bullet 'E'",0.06416,0.014,0.3,0.0792,"UKN","KNM"
"54","Barrel 1 Bullet 2","Unknowns Bullet 'F'",0.0352,0.01,0.214,0.06,"UKN","KNM"
"55","Barrel 1 Bullet 2","Unknowns Bullet 'G'",0.1198,0.058,0.516,0.156666666666667,"UKN","KNM"
"56","Barrel 1 Bullet 2","Unknowns Bullet 'H'",0.0515333333333333,0.044,0.414,0.104333333333333,"UKN","KNM"
"57","Barrel 1 Bullet 2","Unknowns Bullet 'I'",0.06888,0.012,0.364,0.1028,"UKN","KNM"
"58","Barrel 1 Bullet 2","Unknowns Bullet 'J'",0.0330666666666667,0.002,0.148,0.0503333333333333,"UKN","KNM"
"59","Barrel 1 Bullet 2","Unknowns Bullet 'K'",0.886733333333333,0.968,0.99,0.902666666666667,"UKN","KM"
"60","Barrel 1 Bullet 2","Unknowns Bullet 'L'",0.0344666666666667,0.013,0.228,0.0563333333333333,"UKN","KNM"
"61","Barrel 1 Bullet 2","Unknowns Bullet 'O'",0.0598,0.007,0.35,0.0826666666666667,"UKN","KNM"
"62","Barrel 1 Bullet 2","Unknowns Bullet 'P'",0.0474666666666667,0.034,0.268,0.0726666666666667,"UKN","KNM"
"63","Barrel 1 Bullet 2","Unknowns Bullet 'S'",0.0597333333333333,0.05,0.524,0.103666666666667,"UKN","KNM"
"64","Barrel 1 Bullet 2","Unknowns Bullet 'T'",0.0346666666666667,0.015,0.214,0.0576666666666667,"UKN","KNM"
"65","Barrel 1 Bullet 2","Unknowns Bullet 'U'",0.0449333333333333,0.043,0.378,0.0846666666666667,"UKN","KNM"
"66","Barrel 1 Bullet 2","Unknowns Bullet 'X'",0.0121333333333333,0.006,0.114,0.039,"UKN","KNM"
"67","Barrel 1 Bullet 2","Unknowns Bullet 'Y'",0.1042,0.011,0.644,0.134,"UKN","KNM"
"68","Barrel 10 Bullet 1","Barrel 10 Bullet 2",0.88504,0.91,1,0.9492,"KM","KM"
"69","Barrel 10 Bullet 1","Barrel 2 Bullet 1",0.0760666666666667,0.025,0.38,0.119,"KNM","KNM"
"70","Barrel 10 Bullet 1","Barrel 2 Bullet 2",0.11512,0.012,0.476,0.1552,"KNM","KNM"
"71","Barrel 10 Bullet 1","Barrel 3 Bullet 1",0.0327,0.03,0.086,0.0465,"KNM","KNM"
"72","Barrel 10 Bullet 1","Barrel 3 Bullet 2",0.113133333333333,0.035,0.736,0.170333333333333,"KNM","KNM"
"73","Barrel 10 Bullet 1","Barrel 4 Bullet 1",0.103,0.025,0.552,0.143333333333333,"KNM","KNM"
"74","Barrel 10 Bullet 1","Barrel 4 Bullet 2",0.067,0.01,0.422,0.0836666666666667,"KNM","KNM"
"75","Barrel 10 Bullet 1","Barrel 5 Bullet 1",0.142666666666667,0.015,0.674,0.171333333333333,"KNM","KNM"
"76","Barrel 10 Bullet 1","Barrel 5 Bullet 2",0.102066666666667,0.006,0.67,0.173333333333333,"KNM","KNM"
"77","Barrel 10 Bullet 1","Barrel 6 Bullet 1",0.015,0.01,0.114,0.0316666666666667,"KNM","KNM"
"78","Barrel 10 Bullet 1","Barrel 6 Bullet 2",0.0662666666666667,0.015,0.526,0.107333333333333,"KNM","KNM"
"79","Barrel 10 Bullet 1","Barrel 7 Bullet 1",0.0393333333333333,0.033,0.326,0.11,"KNM","KNM"
"80","Barrel 10 Bullet 1","Barrel 7 Bullet 2",0.064,0.016,0.614,0.125666666666667,"KNM","KNM"
"81","Barrel 10 Bullet 1","Barrel 8 Bullet 1",0.1188,0.11,0.47,0.1572,"KNM","KNM"
"82","Barrel 10 Bullet 1","Barrel 8 Bullet 2",0.0998,0.016,0.494,0.172,"KNM","KNM"
"83","Barrel 10 Bullet 1","Barrel 9 Bullet 1",0.0234,0.024,0.214,0.045,"KNM","KNM"
"84","Barrel 10 Bullet 1","Barrel 9 Bullet 2",0.0427333333333333,0.02,0.308,0.0686666666666667,"KNM","KNM"
"85","Barrel 10 Bullet 1","Unknowns Bullet 'E'",0.02472,0.008,0.3,0.0712,"UKN","KNM"
"86","Barrel 10 Bullet 1","Unknowns Bullet 'F'",0.0710666666666667,0.013,0.432,0.110333333333333,"UKN","KNM"
"87","Barrel 10 Bullet 1","Unknowns Bullet 'G'",0.0251333333333333,0.017,0.166,0.041,"UKN","KNM"
"88","Barrel 10 Bullet 1","Unknowns Bullet 'H'",0.0338,0.017,0.212,0.0653333333333333,"UKN","KNM"
"89","Barrel 10 Bullet 1","Unknowns Bullet 'I'",0.07416,0.022,0.328,0.1372,"UKN","KNM"
"90","Barrel 10 Bullet 1","Unknowns Bullet 'J'",0.0562666666666667,0.02,0.284,0.087,"UKN","KNM"
"91","Barrel 10 Bullet 1","Unknowns Bullet 'K'",0.0248666666666667,0.02,0.174,0.045,"UKN","KNM"
"92","Barrel 10 Bullet 1","Unknowns Bullet 'L'",0.0736,0.026,0.488,0.127666666666667,"UKN","KNM"
"93","Barrel 10 Bullet 1","Unknowns Bullet 'O'",0.0691333333333333,0.015,0.482,0.122,"UKN","KNM"
"94","Barrel 10 Bullet 1","Unknowns Bullet 'P'",0.109266666666667,0.022,0.692,0.149666666666667,"UKN","KNM"
