"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type_truth","type"
"1","Barrel 1 Bullet 1","Barrel 1 Bullet 2",9.26666666666667,10,14,11,0.573112745098039,0.610294117647059,0.866666666666667,0.680596405228758,"KM","KM"
"2","Barrel 1 Bullet 1","Barrel 10 Bullet 1",0.3,0,3,2,0.0195343137254902,0.00367647058823529,0.1875,0.124550653594771,"KNM","KNM"
"3","Barrel 1 Bullet 1","Barrel 10 Bullet 2",0.44,0,3,2.2,0.029343137254902,0.00735294117647059,0.1875,0.137696078431373,"KNM","KNM"
"4","Barrel 1 Bullet 1","Barrel 2 Bullet 1",0.133333333333333,0.5,3,1.66666666666667,0.00888888888888888,0.0291666666666667,0.1875,0.103717320261438,"KNM","KNM"
"5","Barrel 1 Bullet 1","Barrel 2 Bullet 2",0.32,0,4,2.2,0.0186862745098039,0,0.25,0.135294117647059,"KNM","KNM"
"6","Barrel 1 Bullet 1","Barrel 3 Bullet 1",0.7,1,4,2.25,0.0433455882352941,0.0645833333333333,0.235294117647059,0.139031862745098,"KNM","KNM"
"7","Barrel 1 Bullet 1","Barrel 3 Bullet 2",0.433333333333333,0.5,3,2,0.0272549019607843,0.032843137254902,0.1875,0.123937908496732,"KNM","KNM"
"8","Barrel 1 Bullet 1","Barrel 4 Bullet 1",0.366666666666667,0,3,2,0.0233333333333333,0.0115196078431372,0.1875,0.124550653594771,"KNM","KNM"
"9","Barrel 1 Bullet 1","Barrel 4 Bullet 2",0.333333333333333,0,3,2,0.0200816993464052,0.00392156862745099,0.1875,0.123243464052288,"KNM","KNM"
"10","Barrel 1 Bullet 1","Barrel 5 Bullet 1",0.366666666666666,0.5,4,2.16666666666667,0.0231290849673203,0.0349264705882353,0.25,0.134272875816993,"KNM","KNM"
"11","Barrel 1 Bullet 1","Barrel 5 Bullet 2",0.833333333333333,0,5,2.5,0.0519934640522876,0.00735294117647059,0.3125,0.155187908496732,"KNM","KNM"
"12","Barrel 1 Bullet 1","Barrel 6 Bullet 1",0.533333333333333,0,4,2.16666666666667,0.033766339869281,0.00735294117647059,0.25,0.134967320261438,"KNM","KNM"
"13","Barrel 1 Bullet 1","Barrel 6 Bullet 2",0.666666666666667,0.5,4,2.33333333333333,0.0399836601307189,0.0333333333333333,0.25,0.143545751633987,"KNM","KNM"
"14","Barrel 1 Bullet 1","Barrel 7 Bullet 1",0.833333333333333,0.5,3,2.5,0.0517320261437909,0.0427696078431372,0.2,0.155187908496732,"KNM","KNM"
"15","Barrel 1 Bullet 1","Barrel 7 Bullet 2",0.533333333333333,0,5,2.33333333333333,0.0330718954248366,0.00367647058823529,0.3125,0.144076797385621,"KNM","KNM"
"16","Barrel 1 Bullet 1","Barrel 8 Bullet 1",0.48,1,4,2,0.03,0.0509803921568627,0.25,0.123627450980392,"KNM","KNM"
"17","Barrel 1 Bullet 1","Barrel 8 Bullet 2",0.266666666666667,0,3,2,0.0174673202614379,0.00735294117647059,0.1875,0.124550653594771,"KNM","KNM"
"18","Barrel 1 Bullet 1","Barrel 9 Bullet 1",0.266666666666667,0,5,2.16666666666667,0.0183986928104575,0.00416666666666665,0.333333333333333,0.136437908496732,"KNM","KNM"
"19","Barrel 1 Bullet 1","Barrel 9 Bullet 2",0.333333333333333,0,3,2,0.0198856209150327,0.00735294117647059,0.2,0.123325163398693,"KNM","KNM"
"20","Barrel 1 Bullet 1","Unknowns Bullet 'E'",0.2,1,4,1.8,0.012578431372549,0.0625,0.25,0.111960784313725,"KNM","UKN"
"21","Barrel 1 Bullet 1","Unknowns Bullet 'F'",0.566666666666666,0.5,4,2.16666666666667,0.0355637254901961,0.032843137254902,0.25,0.134436274509804,"KNM","UKN"
"22","Barrel 1 Bullet 1","Unknowns Bullet 'G'",0.366666666666667,0.5,3,2,0.0228267973856209,0.00735294117647059,0.1875,0.123937908496732,"KNM","UKN"
"23","Barrel 1 Bullet 1","Unknowns Bullet 'H'",0.4,0,4,2.16666666666667,0.0241748366013072,0.032843137254902,0.266666666666667,0.133741830065359,"KNM","UKN"
"24","Barrel 1 Bullet 1","Unknowns Bullet 'I'",0.72,0,4,2.4,0.0476078431372549,0.0156862745098039,0.266666666666667,0.151862745098039,"KNM","UKN"
"25","Barrel 1 Bullet 1","Unknowns Bullet 'J'",0.5,0,5,2.16666666666667,0.0316666666666667,0.00735294117647059,0.294117647058824,0.134354575163399,"KNM","UKN"
"26","Barrel 1 Bullet 1","Unknowns Bullet 'K'",9.76666666666667,11,14,11.3333333333333,0.604084967320262,0.661274509803922,0.866666666666667,0.701429738562092,"KM","UKN"
"27","Barrel 1 Bullet 1","Unknowns Bullet 'L'",0.566666666666666,0,3,2.16666666666667,0.0348692810457516,0.00735294117647059,0.1875,0.133741830065359,"KNM","UKN"
"28","Barrel 1 Bullet 1","Unknowns Bullet 'O'",0.233333333333333,0,3,1.83333333333333,0.0138725490196078,0.00367647058823529,0.2,0.11343954248366,"KNM","UKN"
"29","Barrel 1 Bullet 1","Unknowns Bullet 'P'",0.2,0,3,1.83333333333333,0.0125490196078431,0.00367647058823529,0.1875,0.113521241830065,"KNM","UKN"
"30","Barrel 1 Bullet 1","Unknowns Bullet 'S'",0.2,0,3,2,0.012687908496732,0.00735294117647059,0.1875,0.123937908496732,"KNM","UKN"
"31","Barrel 1 Bullet 1","Unknowns Bullet 'T'",0.266666666666667,1,3,1.83333333333333,0.0162091503267974,0.0604166666666667,0.1875,0.113521241830065,"KNM","UKN"
"32","Barrel 1 Bullet 1","Unknowns Bullet 'U'",0.633333333333333,0.5,4,2.16666666666667,0.0384477124183007,0.00735294117647059,0.25,0.133660130718954,"KNM","UKN"
"33","Barrel 1 Bullet 1","Unknowns Bullet 'X'",0.233333333333333,1,3,1.66666666666667,0.0147058823529412,0.0509803921568627,0.1875,0.103022875816993,"KNM","UKN"
"34","Barrel 1 Bullet 1","Unknowns Bullet 'Y'",0.933333333333333,0,5,2.66666666666667,0.0585049019607843,0.0115196078431372,0.3125,0.165604575163399,"KNM","UKN"
"35","Barrel 1 Bullet 2","Barrel 10 Bullet 1",0.8,0,4,2.33333333333333,0.050171568627451,0.032843137254902,0.25,0.145996732026144,"KNM","KNM"
"36","Barrel 1 Bullet 2","Barrel 10 Bullet 2",0.24,1,3,1.8,0.0174509803921569,0.0583333333333333,0.1875,0.114166666666667,"KNM","KNM"
"37","Barrel 1 Bullet 2","Barrel 2 Bullet 1",0.5,1,4,2,0.0322385620915033,0.0567401960784314,0.235294117647059,0.125857843137255,"KNM","KNM"
"38","Barrel 1 Bullet 2","Barrel 2 Bullet 2",0.2,0,3,1.8,0.0154705882352941,0.00735294117647059,0.2,0.115,"KNM","KNM"
"39","Barrel 1 Bullet 2","Barrel 3 Bullet 1",0.5,0.5,3,2,0.03,0.0291666666666667,0.2,0.124080882352941,"KNM","KNM"
"40","Barrel 1 Bullet 2","Barrel 3 Bullet 2",0.933333333333334,1,4,2.33333333333333,0.0594444444444445,0.0604166666666667,0.25,0.147303921568627,"KNM","KNM"
"41","Barrel 1 Bullet 2","Barrel 4 Bullet 1",0.266666666666667,1,3,1.83333333333333,0.0180228758169935,0.0625,0.2,0.116053921568627,"KNM","KNM"
"42","Barrel 1 Bullet 2","Barrel 4 Bullet 2",0.266666666666667,0.5,4,1.83333333333333,0.0170179738562092,0.0291666666666667,0.25,0.114665032679739,"KNM","KNM"
"43","Barrel 1 Bullet 2","Barrel 5 Bullet 1",0.333333333333333,0.5,4,1.83333333333333,0.0221078431372549,0.0333333333333333,0.25,0.115359477124183,"KNM","KNM"
"44","Barrel 1 Bullet 2","Barrel 5 Bullet 2",0.5,0,3,2.16666666666667,0.0315604575163399,0.00784313725490195,0.1875,0.134967320261438,"KNM","KNM"
"45","Barrel 1 Bullet 2","Barrel 6 Bullet 1",0.5,1,3,2,0.0311601307189543,0.0604166666666667,0.2,0.12516339869281,"KNM","KNM"
