"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",13.1666666666667,14,24,15.8333333333333,0.5675,0.625,1,0.681944444444444,"KM","KM"
"2","Br1 1","Br10 1",0.333333333333333,0,4,3,0.015,0.0125,0.166666666666667,0.129166666666667,"KNM","KNM"
"3","Br1 1","Br10 2",0.566666666666666,0,5,3.16666666666667,0.0272222222222222,0,0.25,0.138888888888889,"KNM","KNM"
"4","Br1 1","Br2 1",0.4,0.5,7,3.33333333333333,0.0191666666666667,0.0208333333333333,0.291666666666667,0.144444444444444,"KNM","KNM"
"5","Br1 1","Br2 2",0.633333333333333,0,5,3.33333333333333,0.0258333333333333,0,0.208333333333333,0.141666666666667,"KNM","KNM"
"6","Br1 1","Br3 1",0.4,0,5,3,0.0126666666666667,0,0.208333333333333,0.125,"KNM","KNM"
"7","Br1 1","Br3 2",0.533333333333334,0.5,6,3.33333333333333,0.0222222222222222,0.0125,0.25,0.143055555555556,"KNM","KNM"
"8","Br1 1","Br4 1",1.06666666666667,1,5,3.5,0.0447222222222222,0.0458333333333333,0.208333333333333,0.15,"KNM","KNM"
"9","Br1 1","Br4 2",0.5,0.5,5,3.33333333333333,0.0216666666666667,0.0208333333333333,0.208333333333333,0.143055555555556,"KNM","KNM"
"10","Br1 1","Br5 1",0.366666666666667,0,4,3,0.0147222222222222,0,0.166666666666667,0.127777777777778,"KNM","KNM"
"11","Br1 1","Br5 2",0.733333333333333,1,5,3.33333333333333,0.0288888888888889,0.05,0.25,0.141666666666667,"KNM","KNM"
"12","Br1 1","Br6 1",0.766666666666667,1,5,3.33333333333333,0.0325,0.0375,0.208333333333333,0.143055555555556,"KNM","KNM"
"13","Br1 1","Br6 2",1.12,0,6,3.6,0.0483333333333333,0,0.25,0.155,"KNM","KNM"
"14","Br1 1","Br7 1",0.433333333333334,0.5,5,3.33333333333333,0.0172222222222222,0.0208333333333333,0.208333333333333,0.141666666666667,"KNM","KNM"
"15","Br1 1","Br7 2",1.1,1.5,5,3.66666666666667,0.0483333333333333,0.0458333333333333,0.208333333333333,0.158333333333333,"KNM","KNM"
"16","Br1 1","Br8 1",1.3,1,6,4,0.0541666666666667,0.0416666666666667,0.25,0.169444444444444,"KNM","KNM"
