"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",7.46666666666667,8.5,20,16.6666666666667,0.318611111111111,0.329166666666667,0.833333333333333,0.713888888888889,"KM","KM"
"2","Br1 1","Br10 1",0.566666666666666,0.5,12,9.33333333333333,0.0252777777777778,0.0333333333333333,0.5,0.4,"KNM","KNM"
"3","Br1 1","Br10 2",0.666666666666666,1,12,9.66666666666667,0.0305555555555555,0.0416666666666667,0.5,0.416666666666667,"KNM","KNM"
"4","Br1 1","Br2 1",0.9,0,12,9.5,0.0394444444444444,0.05,0.5,0.408333333333333,"KNM","KNM"
"5","Br1 1","Br2 2",0.766666666666667,0.5,11,9.33333333333333,0.0319444444444445,0.0333333333333333,0.458333333333333,0.4,"KNM","KNM"
"6","Br1 1","Br3 1",0.56,1,12,9,0.0263333333333334,0.025,0.5,0.388333333333333,"KNM","KNM"
"7","Br1 1","Br3 2",0.666666666666668,1.5,12,9.33333333333333,0.0308333333333333,0.0208333333333334,0.5,0.402777777777778,"KNM","KNM"
"8","Br1 1","Br4 1",0.633333333333333,1,11,9.16666666666667,0.0297222222222222,0.0458333333333333,0.5,0.395833333333333,"KNM","KNM"
"9","Br1 1","Br4 2",0.466666666666667,0.5,12,9.33333333333333,0.0197222222222223,0.0208333333333334,0.5,0.4,"KNM","KNM"
"10","Br1 1","Br5 1",1.2,1,14,10,0.0525,0.0625,0.583333333333333,0.430555555555556,"KNM","KNM"
"11","Br1 1","Br5 2",0.866666666666665,1,11,9.66666666666667,0.0377777777777778,0.0416666666666667,0.458333333333333,0.415277777777778,"KNM","KNM"
"12","Br1 1","Br6 1",1.3,1,12,9.83333333333333,0.055,0.0416666666666667,0.55,0.422222222222222,"KNM","KNM"
"13","Br1 1","Br6 2",1.24,1,12,10,0.039,0.0416666666666667,0.5,0.416666666666667,"KNM","KNM"
"14","Br1 1","Br7 1",0.166666666666668,1,12,8.83333333333333,0.00750000000000001,0.0125,0.5,0.379166666666667,"KNM","KNM"
"15","Br1 1","Br7 2",0.966666666666667,1.5,11,9.33333333333333,0.045,0.0625000000000001,0.55,0.404166666666667,"KNM","KNM"
"16","Br1 1","Br8 1",0.633333333333335,0,12,9.33333333333333,0.0286111111111111,0.0125,0.5,0.401388888888889,"KNM","KNM"
"17","Br1 1","Br8 2",1.2,0.5,16,9.83333333333333,0.0502777777777778,0.025,0.666666666666667,0.420833333333333,"KNM","KNM"
"18","Br1 1","Br9 1",0.533333333333333,0.5,10,9.16666666666667,0.025,0.0208333333333334,0.5,0.395833333333333,"KNM","KNM"
"19","Br1 1","Br9 2",1.2,1,11,9.6,0.055,0.0666666666666667,0.458333333333333,0.415,"KNM","KNM"
"20","Br1 1","Ukn B",0.6,0,11,9.2,0.0276666666666667,0.025,0.458333333333333,0.396666666666667,"Ukn","KNM"
"21","Br1 1","Ukn C",8.9,8.5,23,17.6666666666667,0.3775,0.354166666666667,0.958333333333333,0.754166666666667,"Ukn","KM"
"22","Br1 1","Ukn D",0.833333333333334,1,12,9.83333333333333,0.0352777777777778,0.0416666666666667,0.5,0.420833333333333,"Ukn","KNM"
"23","Br1 1","Ukn E",0.966666666666667,1,12,9.33333333333333,0.0455555555555556,0.0458333333333333,0.6,0.405555555555556,"Ukn","KNM"
"24","Br1 1","Ukn F",9.13333333333333,11,22,17.8333333333333,0.3825,0.45,0.916666666666667,0.756944444444444,"Ukn","KM"
"25","Br1 1","Ukn H",0.633333333333333,1.5,12,9.16666666666667,0.0263888888888889,0.0208333333333334,0.5,0.391666666666667,"Ukn","KNM"
"26","Br1 1","Ukn J",0.766666666666667,0.5,13,9.5,0.0313888888888889,0.0208333333333334,0.541666666666667,0.406944444444444,"Ukn","KNM"
"27","Br1 1","Ukn L",1.03333333333333,2.5,12,9.66666666666667,0.0408333333333333,0.0625,0.5,0.411111111111111,"Ukn","KNM"
"28","Br1 1","Ukn M",1.16666666666667,1,12,9.66666666666667,0.0511111111111111,0.0416666666666667,0.5,0.416666666666667,"Ukn","KNM"
"29","Br1 1","Ukn Q",0.92,0,13,9.8,0.0416666666666666,0.025,0.541666666666667,0.421666666666667,"Ukn","KNM"
"30","Br1 1","Ukn S",0.866666666666667,1.5,11,9.33333333333333,0.0386111111111112,0.0833333333333334,0.5,0.402777777777778,"Ukn","KNM"
"31","Br1 1","Ukn U",0.733333333333333,0,10,9.16666666666667,0.0336111111111111,0,0.5,0.395833333333333,"Ukn","KNM"
"32","Br1 1","Ukn X",0.700000000000001,1,11,8.83333333333333,0.03,0.0458333333333333,0.458333333333333,0.379166666666667,"Ukn","KNM"
"33","Br1 1","Ukn Y",1.06666666666667,1,11,9.83333333333333,0.0480555555555556,0.0625,0.5,0.423611111111111,"Ukn","KNM"
"34","Br1 1","Ukn Z",0.866666666666665,0.5,13,9.66666666666667,0.0363888888888889,0.0333333333333333,0.541666666666667,0.413888888888889,"Ukn","KNM"
"35","Br1 2","Br10 1",1.23333333333333,1.5,12,9.66666666666667,0.0540404040404041,0.0321969696969697,0.545454545454545,0.410353535353535,"KNM","KNM"
"36","Br1 2","Br10 2",0.700000000000001,0,11,9.33333333333333,0.0296717171717172,0.0170454545454546,0.458333333333333,0.394570707070707,"KNM","KNM"
"37","Br1 2","Br2 1",0.666666666666666,1,13,9.16666666666667,0.0284090909090909,0.0587121212121213,0.541666666666667,0.387626262626263,"KNM","KNM"
"38","Br1 2","Br2 2",1.06666666666667,1,12,9.83333333333333,0.0450757575757575,0.0416666666666667,0.5,0.416035353535354,"KNM","KNM"
"39","Br1 2","Br3 1",2.52,3,12,10.8,0.0992424242424242,0.125,0.5,0.45,"KNM","KNM"
"40","Br1 2","Br3 2",0.199999999999999,0.5,11,8.66666666666667,0.00795454545454544,0.00568181818181818,0.458333333333333,0.365530303030303,"KNM","KNM"
"41","Br1 2","Br4 1",0.833333333333334,0.5,12,9.5,0.0342171717171717,0.0208333333333334,0.5,0.400883838383838,"KNM","KNM"
"42","Br1 2","Br4 2",0.533333333333333,0,11,9.33333333333333,0.022979797979798,0.0170454545454546,0.458333333333333,0.394570707070707,"KNM","KNM"
"43","Br1 2","Br5 1",0.433333333333334,0,14,9.33333333333333,0.0178030303030303,0.0170454545454546,0.583333333333333,0.393939393939394,"KNM","KNM"
"44","Br1 2","Br5 2",0.699999999999999,0.5,11,9.5,0.0291666666666667,0.0378787878787879,0.5,0.401515151515152,"KNM","KNM"
