"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type_truth","type"
"1","Barrel 1 Bullet 1","Barrel 1 Bullet 2",6.1,6.5,8,7,0.780357142857143,0.875,1,0.895833333333333,"KM","KM"
"2","Barrel 1 Bullet 1","Barrel 10 Bullet 1",0.2,0,3,1.16666666666667,0.0255952380952381,0.00892857142857142,0.375,0.148809523809524,"KNM","KNM"
"3","Barrel 1 Bullet 1","Barrel 10 Bullet 2",0.4,0,3,1.4,0.0514285714285714,0.0178571428571428,0.375,0.178571428571429,"KNM","KNM"
"4","Barrel 1 Bullet 1","Barrel 2 Bullet 1",0.466666666666667,0,3,1.16666666666667,0.0601190476190476,0,0.375,0.148809523809524,"KNM","KNM"
"5","Barrel 1 Bullet 1","Barrel 2 Bullet 2",0.44,0,2,1.2,0.0571428571428571,0.0178571428571428,0.25,0.153571428571429,"KNM","KNM"
"6","Barrel 1 Bullet 1","Barrel 3 Bullet 1",0.8,0.5,3,1.75,0.10625,0.0803571428571428,0.375,0.227678571428571,"KNM","KNM"
"7","Barrel 1 Bullet 1","Barrel 3 Bullet 2",0.2,0,2,1,0.0255952380952381,0,0.25,0.12797619047619,"KNM","KNM"
"8","Barrel 1 Bullet 1","Barrel 4 Bullet 1",0.2,0,2,1,0.0297619047619048,0,0.285714285714286,0.130952380952381,"KNM","KNM"
"9","Barrel 1 Bullet 1","Barrel 4 Bullet 2",0.133333333333333,0,2,0.833333333333333,0.0196428571428571,0,0.25,0.107142857142857,"KNM","KNM"
"10","Barrel 1 Bullet 1","Barrel 5 Bullet 1",0.333333333333333,0,2,1.16666666666667,0.0428571428571429,0.00892857142857142,0.25,0.148809523809524,"KNM","KNM"
"11","Barrel 1 Bullet 1","Barrel 5 Bullet 2",0.266666666666667,0,3,1.16666666666667,0.0369047619047619,0.00892857142857142,0.375,0.151785714285714,"KNM","KNM"
"12","Barrel 1 Bullet 1","Barrel 6 Bullet 1",0.233333333333333,0,3,1.16666666666667,0.0297619047619048,0.00892857142857142,0.375,0.148809523809524,"KNM","KNM"
"13","Barrel 1 Bullet 1","Barrel 6 Bullet 2",0.333333333333333,0,2,1.16666666666667,0.0398809523809524,0,0.25,0.145833333333333,"KNM","KNM"
"14","Barrel 1 Bullet 1","Barrel 7 Bullet 1",0.233333333333333,0,2,1.16666666666667,0.0291666666666667,0,0.285714285714286,0.148809523809524,"KNM","KNM"
"15","Barrel 1 Bullet 1","Barrel 7 Bullet 2",0.566666666666667,0,3,1.5,0.0714285714285714,0.00892857142857142,0.375,0.19047619047619,"KNM","KNM"
"16","Barrel 1 Bullet 1","Barrel 8 Bullet 1",0.92,0,2,1.4,0.117857142857143,0.142857142857143,0.25,0.178571428571429,"KNM","KNM"
"17","Barrel 1 Bullet 1","Barrel 8 Bullet 2",0.566666666666667,0,3,1.33333333333333,0.0714285714285714,0,0.375,0.169642857142857,"KNM","KNM"
"18","Barrel 1 Bullet 1","Barrel 9 Bullet 1",0.166666666666667,0,2,1,0.0220238095238095,0.00892857142857142,0.25,0.12797619047619,"KNM","KNM"
"19","Barrel 1 Bullet 1","Barrel 9 Bullet 2",0.5,0,3,1.33333333333333,0.0601190476190476,0,0.375,0.166666666666667,"KNM","KNM"
"20","Barrel 1 Bullet 1","Unknowns Bullet 'E'",0.48,0,2,1.2,0.0578571428571429,0,0.25,0.15,"KNM","UKN"
"21","Barrel 1 Bullet 1","Unknowns Bullet 'F'",0.533333333333333,0,2,1.33333333333333,0.0672619047619048,0.00892857142857142,0.285714285714286,0.169642857142857,"KNM","UKN"
"22","Barrel 1 Bullet 1","Unknowns Bullet 'G'",0.533333333333333,0.5,2,1.33333333333333,0.0702380952380952,0.0625,0.285714285714286,0.172619047619048,"KNM","UKN"
"23","Barrel 1 Bullet 1","Unknowns Bullet 'H'",0.333333333333333,0,2,1.16666666666667,0.0422619047619048,0,0.25,0.148809523809524,"KNM","UKN"
"24","Barrel 1 Bullet 1","Unknowns Bullet 'I'",0.32,0,2,1,0.0464285714285714,0,0.285714285714286,0.132142857142857,"KNM","UKN"
"25","Barrel 1 Bullet 1","Unknowns Bullet 'J'",0.966666666666667,0.5,5,1.66666666666667,0.119642857142857,0.0625,0.625,0.208333333333333,"KNM","UKN"
"26","Barrel 1 Bullet 1","Unknowns Bullet 'K'",6.06666666666667,6,8,7,0.777380952380952,0.8125,1,0.895833333333333,"KM","UKN"
"27","Barrel 1 Bullet 1","Unknowns Bullet 'L'",0.233333333333333,0,3,1.16666666666667,0.0261904761904762,0,0.375,0.145833333333333,"KNM","UKN"
"28","Barrel 1 Bullet 1","Unknowns Bullet 'O'",0.4,0,2,1.16666666666667,0.0517857142857143,0.00892857142857142,0.25,0.148809523809524,"KNM","UKN"
"29","Barrel 1 Bullet 1","Unknowns Bullet 'P'",0.166666666666667,0,2,0.833333333333333,0.0255952380952381,0,0.285714285714286,0.110119047619048,"KNM","UKN"
"30","Barrel 1 Bullet 1","Unknowns Bullet 'S'",0.233333333333333,0,2,1.16666666666667,0.0339285714285714,0.00892857142857142,0.285714285714286,0.151785714285714,"KNM","UKN"
"31","Barrel 1 Bullet 1","Unknowns Bullet 'T'",0.233333333333333,0,1,1,0.0297619047619048,0,0.142857142857143,0.12797619047619,"KNM","UKN"
"32","Barrel 1 Bullet 1","Unknowns Bullet 'U'",0.666666666666667,0,2,1.33333333333333,0.0875,0,0.285714285714286,0.172619047619048,"KNM","UKN"
