"","bullet1","bullet2","rf.diff","rf.diff.med","rf.max","rf.maxbar","type","type_truth"
"1","Br1 1","Br1 2",0.602866666666667,0.89,1,0.644333333333333,"KM","KM"
"2","Br1 1","Br10 1",0.0284666666666667,0.015,0.254,0.0623333333333333,"KNM","KNM"
"3","Br1 1","Br10 2",0.0224666666666667,0.02,0.236,0.056,"KNM","KNM"
"4","Br1 1","Br2 1",0.0806666666666667,0.019,0.314,0.102333333333333,"KNM","KNM"
"5","Br1 1","Br2 2",0.0305333333333333,0.007,0.186,0.051,"KNM","KNM"
"6","Br1 1","Br3 1",0.02976,0.012,0.166,0.0504,"KNM","KNM"
"7","Br1 1","Br3 2",0.0452666666666667,0.007,0.332,0.071,"KNM","KNM"
"8","Br1 1","Br4 1",0.0297333333333333,0.015,0.224,0.05,"KNM","KNM"
"9","Br1 1","Br4 2",0.0435333333333333,0.029,0.144,0.06,"KNM","KNM"
"10","Br1 1","Br5 1",0.0266666666666667,0.013,0.272,0.0563333333333333,"KNM","KNM"
"11","Br1 1","Br5 2",0.049,0.013,0.306,0.0796666666666667,"KNM","KNM"
"12","Br1 1","Br6 1",0.0391333333333333,0.009,0.252,0.0696666666666667,"KNM","KNM"
"13","Br1 1","Br6 2",0.08808,0.014,0.42,0.1116,"KNM","KNM"
"14","Br1 1","Br7 1",0.0344,0.02,0.486,0.0976666666666667,"KNM","KNM"
"15","Br1 1","Br7 2",0.0377333333333333,0.012,0.338,0.067,"KNM","KNM"
"16","Br1 1","Br8 1",0.0195333333333333,0.016,0.208,0.0403333333333333,"KNM","KNM"
"17","Br1 1","Br8 2",0.0900666666666667,0.013,0.31,0.111666666666667,"KNM","KNM"
"18","Br1 1","Br9 1",0.0877333333333333,0.08,0.498,0.148666666666667,"KNM","KNM"
"19","Br1 1","Br9 2",0.09104,0.014,0.508,0.1196,"KNM","KNM"
"20","Br1 1","Ukn B",0.0524,0.01,0.314,0.0692,"Ukn","KNM"
"21","Br1 1","Ukn C",0.7368,0.921,1,0.792333333333333,"Ukn","KM"
"22","Br1 1","Ukn D",0.103466666666667,0.058,0.44,0.138666666666667,"Ukn","KNM"
"23","Br1 1","Ukn E",0.0408666666666667,0.009,0.442,0.078,"Ukn","KNM"
"24","Br1 1","Ukn F",0.752933333333333,0.975,1,0.831333333333333,"Ukn","KM"
"25","Br1 1","Ukn H",0.0348,0.012,0.218,0.0666666666666667,"Ukn","KNM"
"26","Br1 1","Ukn J",0.0849333333333333,0.01,0.502,0.119,"Ukn","KNM"
"27","Br1 1","Ukn L",0.0612666666666667,0.009,0.36,0.0773333333333333,"Ukn","KNM"
"28","Br1 1","Ukn M",0.0371333333333333,0.036,0.306,0.066,"Ukn","KNM"
"29","Br1 1","Ukn Q",0.22272,0.2,0.724,0.256,"Ukn","KNM"
"30","Br1 1","Ukn S",0.0632666666666667,0.052,0.328,0.0966666666666667,"Ukn","KNM"
"31","Br1 1","Ukn U",0.0358666666666667,0.011,0.25,0.0566666666666667,"Ukn","KNM"
"32","Br1 1","Ukn X",0.0590666666666667,0.031,0.344,0.0883333333333333,"Ukn","KNM"
"33","Br1 1","Ukn Y",0.0811333333333333,0.061,0.508,0.130666666666667,"Ukn","KNM"
"34","Br1 1","Ukn Z",0.0923333333333333,0.007,0.69,0.136,"Ukn","KNM"
"35","Br1 2","Br10 1",0.0868666666666667,0.024,0.322,0.106,"KNM","KNM"
"36","Br1 2","Br10 2",0.0174,0.013,0.2,0.044,"KNM","KNM"
"37","Br1 2","Br2 1",0.0259333333333333,0.023,0.31,0.0603333333333333,"KNM","KNM"
"38","Br1 2","Br2 2",0.0234,0.022,0.152,0.0453333333333333,"KNM","KNM"
"39","Br1 2","Br3 1",0.05216,0.01,0.35,0.0796,"KNM","KNM"
"40","Br1 2","Br3 2",0.0792,0.023,0.386,0.116333333333333,"KNM","KNM"
"41","Br1 2","Br4 1",0.0150666666666667,0.025,0.09,0.0306666666666667,"KNM","KNM"
"42","Br1 2","Br4 2",0.0665333333333333,0.01,0.438,0.0836666666666667,"KNM","KNM"
"43","Br1 2","Br5 1",0.0310666666666667,0.012,0.168,0.053,"KNM","KNM"
"44","Br1 2","Br5 2",0.0448,0.052,0.25,0.0753333333333333,"KNM","KNM"
"45","Br1 2","Br6 1",0.0128666666666667,0.015,0.224,0.0403333333333333,"KNM","KNM"
"46","Br1 2","Br6 2",0.04632,0.01,0.314,0.0692,"KNM","KNM"
"47","Br1 2","Br7 1",0.0242,0.018,0.336,0.0643333333333333,"KNM","KNM"
"48","Br1 2","Br7 2",0.0380666666666667,0.011,0.182,0.067,"KNM","KNM"
"49","Br1 2","Br8 1",0.0578,0.025,0.306,0.0856666666666667,"KNM","KNM"
"50","Br1 2","Br8 2",0.0702,0.021,0.358,0.099,"KNM","KNM"
"51","Br1 2","Br9 1",0.114,0.158,0.48,0.174666666666667,"KNM","KNM"
"52","Br1 2","Br9 2",0.0228,0.016,0.338,0.0728,"KNM","KNM"
"53","Br1 2","Ukn B",0.04344,0.006,0.238,0.0636,"Ukn","KNM"
"54","Br1 2","Ukn C",0.763933333333333,0.945,0.996,0.8,"Ukn","KM"
"55","Br1 2","Ukn D",0.0702666666666667,0.066,0.394,0.12,"Ukn","KNM"
"56","Br1 2","Ukn E",0.0338,0.017,0.246,0.0553333333333333,"Ukn","KNM"
"57","Br1 2","Ukn F",0.678866666666667,0.949,1,0.762,"Ukn","KM"
"58","Br1 2","Ukn H",0.0449333333333333,0.023,0.194,0.0576666666666667,"Ukn","KNM"
"59","Br1 2","Ukn J",0.059,0.012,0.416,0.091,"Ukn","KNM"
"60","Br1 2","Ukn L",0.110066666666667,0.015,0.41,0.133,"Ukn","KNM"
