"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",3.9,5,8,4.83333333333333,0.495833333333333,0.625,1,0.618055555555556,"KM","KM"
"2","Br1 1","Br10 1",0.433333333333333,0,2,1.16666666666667,0.0597222222222222,0,0.25,0.152777777777778,"KNM","KNM"
"3","Br1 1","Br10 2",0.233333333333333,0,2,1,0.0333333333333333,0,0.25,0.131944444444444,"KNM","KNM"
"4","Br1 1","Br2 1",0.333333333333333,0,3,1.33333333333333,0.0416666666666667,0.0208333333333333,0.5,0.173611111111111,"KNM","KNM"
"5","Br1 1","Br2 2",0.4,0,3,1.16666666666667,0.0680555555555555,0,0.5,0.166666666666667,"KNM","KNM"
"6","Br1 1","Br3 1",0.48,0,3,1.4,0.0533333333333333,0,0.375,0.175,"KNM","KNM"
"7","Br1 1","Br3 2",0.366666666666667,0,3,1.16666666666667,0.0472222222222222,0,0.375,0.152777777777778,"KNM","KNM"
"8","Br1 1","Br4 1",0.466666666666667,0,2,1.16666666666667,0.0583333333333333,0,0.333333333333333,0.152777777777778,"KNM","KNM"
"9","Br1 1","Br4 2",0.5,0,2,1.16666666666667,0.0638888888888889,0,0.333333333333333,0.152777777777778,"KNM","KNM"
"10","Br1 1","Br5 1",0.3,0,2,1.16666666666667,0.0402777777777778,0,0.333333333333333,0.152777777777778,"KNM","KNM"
"11","Br1 1","Br5 2",0.5,0,2,1.33333333333333,0.0638888888888889,0.0208333333333333,0.25,0.173611111111111,"KNM","KNM"
"12","Br1 1","Br6 1",0.6,0.5,3,1.5,0.0777777777777778,0.0833333333333333,0.375,0.194444444444444,"KNM","KNM"
"13","Br1 1","Br6 2",0.68,0,2,1.4,0.0883333333333333,0.0416666666666667,0.25,0.183333333333333,"KNM","KNM"
"14","Br1 1","Br7 1",0.333333333333333,0.5,3,1.33333333333333,0.0388888888888889,0.0625,0.375,0.166666666666667,"KNM","KNM"
