"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type_truth","type"
"1","Barrel 1 Bullet 1","Barrel 1 Bullet 2",13.2333333333333,14.5,19,15.8333333333333,0.557362758014932,0.574545454545454,0.863636363636364,0.665895915678524,"KM","KM"
"2","Barrel 1 Bullet 1","Barrel 10 Bullet 1",0.133333333333333,0.5,4,2.5,0.00566205533596838,0.018498023715415,0.166666666666667,0.104997804128239,"KNM","KNM"
"3","Barrel 1 Bullet 1","Barrel 10 Bullet 2",0.56,1,4,3,0.0242953886693017,0.0395256916996047,0.173913043478261,0.126359683794466,"KNM","KNM"
"4","Barrel 1 Bullet 1","Barrel 2 Bullet 1",0.633333333333333,1,4,3,0.0258375054896794,0.0360671936758893,0.16,0.125223978919631,"KNM","KNM"
"5","Barrel 1 Bullet 1","Barrel 2 Bullet 2",0.24,1,5,2.8,0.0113512516469038,0.0290909090909091,0.208333333333333,0.11833069828722,"KNM","KNM"
"6","Barrel 1 Bullet 1","Barrel 3 Bullet 1",1.05,1.5,4,3.5,0.0453741765480896,0.0606884057971014,0.181818181818182,0.148371212121212,"KNM","KNM"
"7","Barrel 1 Bullet 1","Barrel 3 Bullet 2",0.8,1.5,6,3.33333333333333,0.0350638998682477,0.0549242424242424,0.25,0.141232981993852,"KNM","KNM"
"8","Barrel 1 Bullet 1","Barrel 4 Bullet 1",0.4,1,5,3.16666666666667,0.0174530083443127,0.0227272727272727,0.208333333333333,0.133657224418094,"KNM","KNM"
"9","Barrel 1 Bullet 1","Barrel 4 Bullet 2",0.5,1.5,6,3.16666666666667,0.0216919191919192,0.0515909090909091,0.25,0.13340689503733,"KNM","KNM"
"10","Barrel 1 Bullet 1","Barrel 5 Bullet 1",0.8,1.5,5,3.16666666666667,0.0349969257795345,0.0573550724637681,0.217391304347826,0.134312692138779,"KNM","KNM"
"11","Barrel 1 Bullet 1","Barrel 5 Bullet 2",0.533333333333333,1.5,6,3.16666666666667,0.0245801493192797,0.0524242424242424,0.272727272727273,0.135551163812033,"KNM","KNM"
"12","Barrel 1 Bullet 1","Barrel 6 Bullet 1",0.3,1,3,2.5,0.0123526570048309,0.0366666666666667,0.136363636363636,0.104668423364076,"KNM","KNM"
"13","Barrel 1 Bullet 1","Barrel 6 Bullet 2",1.16666666666667,1,7,3.66666666666667,0.0473278436539306,0.0368083003952569,0.28,0.152168423364076,"KNM","KNM"
"14","Barrel 1 Bullet 1","Barrel 7 Bullet 1",0.6,1,5,3,0.0253678085199824,0.0407608695652174,0.227272727272727,0.1264108476065,"KNM","KNM"
"15","Barrel 1 Bullet 1","Barrel 7 Bullet 2",0.8,1,5,3.33333333333333,0.0345379885814669,0.0416666666666667,0.217391304347826,0.140979358805446,"KNM","KNM"
"16","Barrel 1 Bullet 1","Barrel 8 Bullet 1",0.64,1,5,3.2,0.0252587615283267,0.0340909090909091,0.208333333333333,0.132420289855072,"KNM","KNM"
"17","Barrel 1 Bullet 1","Barrel 8 Bullet 2",0.433333333333333,0.5,5,3.16666666666667,0.01877821695213,0.0225,0.208333333333333,0.13340689503733,"KNM","KNM"
"18","Barrel 1 Bullet 1","Barrel 9 Bullet 1",0.166666666666667,0,5,3,0.00649385155906894,0.00568181818181818,0.227272727272727,0.126435002195872,"KNM","KNM"
"19","Barrel 1 Bullet 1","Barrel 9 Bullet 2",0.833333333333333,0.5,6,3.33333333333333,0.0344949494949495,0.0170454545454545,0.25,0.139644268774704,"KNM","KNM"
"20","Barrel 1 Bullet 1","Unknowns Bullet 'E'",0.84,1,6,3.2,0.0376469038208169,0.0395256916996047,0.25,0.136026350461133,"KNM","UKN"
"21","Barrel 1 Bullet 1","Unknowns Bullet 'F'",0.366666666666667,1,4,2.83333333333333,0.0154246815985946,0.0407608695652174,0.166666666666667,0.119164470794906,"KNM","UKN"
"22","Barrel 1 Bullet 1","Unknowns Bullet 'G'",0.7,1,6,3,0.0296765480895916,0.0330434782608696,0.25,0.12610891523935,"KNM","UKN"
"23","Barrel 1 Bullet 1","Unknowns Bullet 'H'",0.7,1,5,3.33333333333333,0.0304165568730786,0.0345454545454546,0.217391304347826,0.140979358805446,"KNM","UKN"
"24","Barrel 1 Bullet 1","Unknowns Bullet 'I'",0.32,0,5,2.6,0.0166118577075099,0.00757575757575758,0.227272727272727,0.112512516469038,"KNM","UKN"
"25","Barrel 1 Bullet 1","Unknowns Bullet 'J'",0.166666666666667,0,3,2.66666666666667,0.0070761967501098,0.0025,0.136363636363636,0.112220026350461,"KNM","UKN"
"26","Barrel 1 Bullet 1","Unknowns Bullet 'K'",11.1333333333333,12,19,14,0.466458717610892,0.5,0.76,0.586607378129117,"KM","UKN"
"27","Barrel 1 Bullet 1","Unknowns Bullet 'L'",0.433333333333333,1,6,3,0.0176111111111111,0.0343083003952569,0.260869565217391,0.125223978919631,"KNM","UKN"
"28","Barrel 1 Bullet 1","Unknowns Bullet 'O'",0.7,1,5,3,0.0290138339920949,0.0310671936758893,0.208333333333333,0.125501756697409,"KNM","UKN"
"29","Barrel 1 Bullet 1","Unknowns Bullet 'P'",0.6,1,5,3,0.0242577953447519,0.0373550724637681,0.208333333333333,0.124922046552481,"KNM","UKN"
"30","Barrel 1 Bullet 1","Unknowns Bullet 'S'",0.0666666666666669,0.5,4,2.5,0.0039530083443127,0.018498023715415,0.173913043478261,0.106435002195872,"KNM","UKN"
"31","Barrel 1 Bullet 1","Unknowns Bullet 'T'",0.266666666666667,1,4,2.5,0.0111675450153711,0.0348550724637681,0.166666666666667,0.104695871761089,"KNM","UKN"
