"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type_truth","type"
"1","Barrel 1 Bullet 1","Barrel 1 Bullet 2",13.9333333333333,13.5,21,16.6666666666667,0.587720465524813,0.54,0.909090909090909,0.701829161176987,"KM","KM"
"2","Barrel 1 Bullet 1","Barrel 10 Bullet 1",0.2,0,3,2.66666666666667,0.00929249011857708,0.005,0.136363636363636,0.112799736495389,"KNM","KNM"
"3","Barrel 1 Bullet 1","Barrel 10 Bullet 2",0.44,0,5,3.2,0.0191188405797101,0.0395256916996047,0.2,0.134631093544137,"KNM","KNM"
"4","Barrel 1 Bullet 1","Barrel 2 Bullet 1",0.4,0.5,4,3,0.0175801493192798,0.0170454545454545,0.181818181818182,0.126764382960035,"KNM","KNM"
"5","Barrel 1 Bullet 1","Barrel 2 Bullet 2",0.48,1,6,3.2,0.022230303030303,0.0395256916996047,0.25,0.136421607378129,"KNM","KNM"
"6","Barrel 1 Bullet 1","Barrel 3 Bullet 1",0.55,0.5,5,3.5,0.0277210144927536,0.0309090909090909,0.217391304347826,0.151052371541502,"KNM","KNM"
"7","Barrel 1 Bullet 1","Barrel 3 Bullet 2",0.766666666666667,1,4,3.33333333333333,0.03088317962231,0.0397628458498024,0.181818181818182,0.13911286780852,"KNM","KNM"
"8","Barrel 1 Bullet 1","Barrel 4 Bullet 1",0.566666666666667,0.5,6,3.5,0.0233045674132631,0.0231818181818182,0.25,0.146386693017128,"KNM","KNM"
"9","Barrel 1 Bullet 1","Barrel 4 Bullet 2",0.233333333333333,0,5,3.16666666666667,0.00947540623627581,0.0106818181818182,0.208333333333333,0.132497804128239,"KNM","KNM"
"10","Barrel 1 Bullet 1","Barrel 5 Bullet 1",0.633333333333333,1,5,3.16666666666667,0.0261455862977602,0.0444664031620553,0.208333333333333,0.132799736495389,"KNM","KNM"
"11","Barrel 1 Bullet 1","Barrel 5 Bullet 2",0.333333333333333,0,6,3.16666666666667,0.0160360122968818,0.00771739130434784,0.272727272727273,0.135249231444884,"KNM","KNM"
