"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",12.7,14.5,22,16.6666666666667,0.546944444444444,0.65,0.916666666666667,0.716666666666667,"KM","KM"
"2","Br1 1","Br10 1",0.4,0.5,5,4.16666666666667,0.0163888888888889,0.0208333333333333,0.208333333333333,0.177777777777778,"KNM","KNM"
"3","Br1 1","Br10 2",0.866666666666667,1,7,4.5,0.0352777777777778,0.0333333333333334,0.291666666666667,0.191666666666667,"KNM","KNM"
"4","Br1 1","Br2 1",0.6,0.5,8,4.5,0.0277777777777778,0.0208333333333333,0.333333333333333,0.194444444444444,"KNM","KNM"
"5","Br1 1","Br2 2",1.16666666666667,1.5,8,5,0.0466666666666667,0.0625,0.333333333333333,0.211111111111111,"KNM","KNM"
"6","Br1 1","Br3 1",0.32,0,8,4.2,0.0143333333333333,0.0333333333333334,0.333333333333333,0.18,"KNM","KNM"
"7","Br1 1","Br3 2",0.199999999999999,0,7,4.33333333333333,0.0119444444444445,0.0166666666666667,0.3,0.188888888888889,"KNM","KNM"
"8","Br1 1","Br4 1",0.833333333333333,1,7,4.66666666666667,0.0372222222222222,0.0416666666666667,0.291666666666667,0.201388888888889,"KNM","KNM"
"9","Br1 1","Br4 2",0.733333333333333,0.5,6,4.5,0.0308333333333334,0.0458333333333333,0.3,0.193055555555556,"KNM","KNM"
"10","Br1 1","Br5 1",1.1,2,8,5.16666666666667,0.0452777777777778,0.0833333333333333,0.333333333333333,0.219444444444444,"KNM","KNM"
"11","Br1 1","Br5 2",0.966666666666667,1,7,5,0.0411111111111111,0.0583333333333333,0.3,0.215277777777778,"KNM","KNM"
"12","Br1 1","Br6 1",0.933333333333333,1,8,4.83333333333333,0.0375,0.0416666666666667,0.333333333333333,0.204166666666667,"KNM","KNM"
"13","Br1 1","Br6 2",0.56,0,10,4.8,0.0253333333333333,0.0333333333333334,0.416666666666667,0.206666666666667,"KNM","KNM"
"14","Br1 1","Br7 1",0.766666666666667,0.5,7,4.83333333333333,0.0336111111111111,0.0375,0.291666666666667,0.206944444444444,"KNM","KNM"
"15","Br1 1","Br7 2",0.3,0.5,6,4.33333333333333,0.0141666666666667,0.0208333333333333,0.25,0.1875,"KNM","KNM"
"16","Br1 1","Br8 1",1.16666666666667,2,7,4.83333333333333,0.0480555555555555,0.0708333333333333,0.291666666666667,0.205555555555556,"KNM","KNM"
"17","Br1 1","Br8 2",0.733333333333334,0.5,8,4.66666666666667,0.0330555555555556,0.0208333333333333,0.333333333333333,0.201388888888889,"KNM","KNM"
"18","Br1 1","Br9 1",0.366666666666666,1,7,4.33333333333333,0.0166666666666667,0.0333333333333334,0.291666666666667,0.186111111111111,"KNM","KNM"
"19","Br1 1","Br9 2",0.68,1,7,4.4,0.03,0.0166666666666667,0.3,0.19,"KNM","KNM"
"20","Br1 1","Ukn B",1.08,1,8,4.6,0.046,0.0166666666666667,0.333333333333333,0.196666666666667,"Ukn","KNM"
"21","Br1 1","Ukn C",14.1333333333333,14.5,24,18.1666666666667,0.603611111111111,0.604166666666667,1,0.776388888888889,"Ukn","KM"
"22","Br1 1","Ukn D",0.566666666666666,0.5,7,4.33333333333333,0.0236111111111111,0.0208333333333333,0.291666666666667,0.184722222222222,"Ukn","KNM"
"23","Br1 1","Ukn E",0.833333333333333,0.5,8,4.66666666666667,0.0358333333333334,0.0375,0.333333333333333,0.2,"Ukn","KNM"
"24","Br1 1","Ukn F",13.5,15.5,23,17.3333333333333,0.563333333333333,0.645833333333333,0.958333333333333,0.729166666666667,"Ukn","KM"
"25","Br1 1","Ukn H",0.766666666666667,1,7,4.66666666666667,0.0313888888888889,0.0416666666666667,0.291666666666667,0.198611111111111,"Ukn","KNM"
"26","Br1 1","Ukn J",0.366666666666667,0,7,4.16666666666667,0.0161111111111111,2.77555756156289e-17,0.3,0.179166666666667,"Ukn","KNM"
"27","Br1 1","Ukn L",0.9,1,6,4.83333333333333,0.0377777777777778,0.0416666666666667,0.25,0.206944444444444,"Ukn","KNM"
"28","Br1 1","Ukn M",0.266666666666667,0,6,4.33333333333333,0.0122222222222222,0.0166666666666667,0.25,0.186111111111111,"Ukn","KNM"
"29","Br1 1","Ukn Q",0.72,1,6,4.6,0.0326666666666667,0.0416666666666667,0.25,0.198333333333333,"Ukn","KNM"
"30","Br1 1","Ukn S",0.766666666666667,0.5,7,4.5,0.0336111111111111,0.0375,0.291666666666667,0.193055555555556,"Ukn","KNM"
"31","Br1 1","Ukn U",0.133333333333334,1,7,4.5,0.0102777777777778,0.0416666666666667,0.35,0.197222222222222,"Ukn","KNM"
"32","Br1 1","Ukn X",0.333333333333333,0,7,4.16666666666667,0.0138888888888889,0,0.3,0.179166666666667,"Ukn","KNM"
"33","Br1 1","Ukn Y",0.7,0.5,7,4.5,0.0305555555555556,0.0208333333333333,0.291666666666667,0.193055555555556,"Ukn","KNM"
"34","Br1 1","Ukn Z",0.333333333333333,0.5,7,4.33333333333333,0.0144444444444445,0.0375,0.291666666666667,0.186111111111111,"Ukn","KNM"
"35","Br1 2","Br10 1",0.633333333333333,0.5,8,4.83333333333333,0.0261363636363636,0.0284090909090909,0.333333333333333,0.203914141414141,"KNM","KNM"
"36","Br1 2","Br10 2",0.5,0.5,7,4.33333333333333,0.0226010101010101,0.0208333333333333,0.291666666666667,0.184343434343434,"KNM","KNM"
"37","Br1 2","Br2 1",0.5,0,5,4.16666666666667,0.0217171717171717,0,0.227272727272727,0.176767676767677,"KNM","KNM"
"38","Br1 2","Br2 2",0.366666666666666,0.5,7,4.5,0.0155303030303031,0.0284090909090909,0.291666666666667,0.190025252525253,"KNM","KNM"
"39","Br1 2","Br3 1",1.76,1,10,5.8,0.0736363636363636,0.0416666666666667,0.416666666666667,0.243939393939394,"KNM","KNM"
"40","Br1 2","Br3 2",1,1,8,5.33333333333333,0.0419191919191919,0.0511363636363636,0.333333333333333,0.225378787878788,"KNM","KNM"
"41","Br1 2","Br4 1",0.433333333333334,0.5,7,4.66666666666667,0.0181818181818182,0.0284090909090909,0.291666666666667,0.196969696969697,"KNM","KNM"
"42","Br1 2","Br4 2",0.3,0.5,7,4.5,0.0128787878787879,0.0208333333333333,0.291666666666667,0.190656565656566,"KNM","KNM"
"43","Br1 2","Br5 1",0.866666666666666,0.5,7,4.83333333333333,0.0371212121212121,0.0303030303030303,0.291666666666667,0.204545454545455,"KNM","KNM"
"44","Br1 2","Br5 2",0.933333333333333,0.5,7,4.83333333333333,0.0390151515151515,0.0284090909090909,0.291666666666667,0.203914141414141,"KNM","KNM"
"45","Br1 2","Br6 1",0.3,0.5,7,4,0.0131313131313131,0.0227272727272728,0.291666666666667,0.169191919191919,"KNM","KNM"
"46","Br1 2","Br6 2",0.76,0,6,4.4,0.0340909090909091,0.0151515151515152,0.272727272727273,0.187878787878788,"KNM","KNM"
"47","Br1 2","Br7 1",0.633333333333334,1,8,5,0.0284090909090909,0.0416666666666667,0.333333333333333,0.212752525252525,"KNM","KNM"
"48","Br1 2","Br7 2",0.366666666666666,0.5,6,4.33333333333333,0.015530303030303,0.0208333333333333,0.272727272727273,0.183712121212121,"KNM","KNM"
"49","Br1 2","Br8 1",0.866666666666667,1.5,7,5.16666666666667,0.0371212121212121,0.0473484848484849,0.291666666666667,0.219065656565657,"KNM","KNM"
"50","Br1 2","Br8 2",0.699999999999999,1,7,4.83333333333333,0.0291666666666667,0.0416666666666667,0.318181818181818,0.204545454545455,"KNM","KNM"
"51","Br1 2","Br9 1",0.3,0,7,4.16666666666667,0.013510101010101,2.77555756156289e-17,0.291666666666667,0.17739898989899,"KNM","KNM"
"52","Br1 2","Br9 2",0.64,0,7,4.6,0.0265151515151515,0,0.291666666666667,0.193939393939394,"KNM","KNM"
"53","Br1 2","Ukn B",0.6,1,6,4.6,0.0271212121212121,0.0416666666666667,0.272727272727273,0.196212121212121,"Ukn","KNM"
"54","Br1 2","Ukn C",11.4,13.5,21,15.6666666666667,0.475378787878788,0.5625,0.875,0.655934343434343,"Ukn","KM"
"55","Br1 2","Ukn D",0.466666666666667,1,9,4.66666666666667,0.0200757575757576,0.0416666666666667,0.375,0.19760101010101,"Ukn","KNM"
"56","Br1 2","Ukn E",0.166666666666667,0,8,4.16666666666667,0.00744949494949496,0.0075757575757576,0.333333333333333,0.176136363636364,"Ukn","KNM"
"57","Br1 2","Ukn F",10.4666666666667,13,23,14.8333333333333,0.434722222222222,0.534090909090909,0.958333333333333,0.619949494949495,"Ukn","KM"
"58","Br1 2","Ukn H",0.466666666666666,0,6,4.33333333333333,0.0194444444444444,0.0075757575757576,0.25,0.183080808080808,"Ukn","KNM"
"59","Br1 2","Ukn J",1.2,1,8,5,0.0513888888888889,0.0416666666666667,0.333333333333333,0.212121212121212,"Ukn","KNM"
"60","Br1 2","Ukn L",0.866666666666666,1,8,4.83333333333333,0.036489898989899,0.0511363636363636,0.333333333333333,0.204545454545455,"Ukn","KNM"
"61","Br1 2","Ukn M",1.06666666666667,0.5,8,4.83333333333333,0.0446969696969697,0.0284090909090909,0.333333333333333,0.203914141414141,"Ukn","KNM"
"62","Br1 2","Ukn Q",0.72,1,6,4.6,0.0315151515151515,0.0416666666666667,0.25,0.195454545454545,"Ukn","KNM"
"63","Br1 2","Ukn S",0.933333333333333,0,9,4.83333333333333,0.0404040404040404,0,0.375,0.205176767676768,"Ukn","KNM"
"64","Br1 2","Ukn U",0.633333333333334,1.5,7,5,0.0271464646464647,0.0625,0.291666666666667,0.212121212121212,"Ukn","KNM"
"65","Br1 2","Ukn X",0.766666666666667,0.5,8,4.66666666666667,0.0310606060606061,0.0208333333333333,0.333333333333333,0.196338383838384,"Ukn","KNM"
"66","Br1 2","Ukn Y",1,1,7,4.83333333333333,0.0426767676767677,0.0416666666666667,0.291666666666667,0.204545454545455,"Ukn","KNM"
"67","Br1 2","Ukn Z",1.23333333333333,1,7,5,0.0525252525252525,0.0511363636363636,0.291666666666667,0.211489898989899,"Ukn","KNM"
"68","Br10 1","Br10 2",11.5333333333333,14.5,21,15.8333333333333,0.480762626262626,0.60463768115942,0.875,0.662404479578393,"KM","KM"
"69","Br10 1","Br2 1",0.5,1,5,4.16666666666667,0.0222406675450154,0.0393181818181818,0.227272727272727,0.177444005270092,"KNM","KNM"
"70","Br10 1","Br2 2",0.633333333333334,1,7,4.66666666666667,0.025473869126043,0.0375,0.291666666666667,0.195601668862538,"KNM","KNM"
"71","Br10 1","Br3 1",0.48,1,7,5,0.0195417654808959,0.0416666666666667,0.304347826086957,0.211475625823452,"KNM","KNM"
"72","Br10 1","Br3 2",0.7,1,9,5,0.0295794905577514,0.0310441370223979,0.391304347826087,0.211055116381203,"KNM","KNM"
"73","Br10 1","Br4 1",0.399999999999999,1,7,4.83333333333333,0.0173335529205094,0.030467720685112,0.291666666666667,0.204642072902942,"KNM","KNM"
"74","Br10 1","Br4 2",0.633333333333334,1,9,5,0.0257727272727273,0.0338768115942029,0.375,0.210677426438296,"KNM","KNM"
"75","Br10 1","Br5 1",1.13333333333333,1,8,5.5,0.0484736495388669,0.0349967061923584,0.32,0.232873298199385,"KNM","KNM"
"76","Br10 1","Br5 2",0.7,1,6,4.66666666666667,0.0303491436100132,0.0375,0.272727272727273,0.197749231444884,"KNM","KNM"
"77","Br10 1","Br6 1",0.9,1,7,4.83333333333333,0.0404025032938077,0.0375,0.318181818181818,0.206484409310496,"KNM","KNM"
"78","Br10 1","Br6 2",0.36,0,7,4.2,0.0157694334650856,0.0139130434782609,0.318181818181818,0.178208168642951,"KNM","KNM"
"79","Br10 1","Br7 1",0.766666666666667,0.5,8,4.66666666666667,0.0337127799736495,0.0241666666666667,0.347826086956522,0.198274044795784,"KNM","KNM"
"80","Br10 1","Br7 2",0.766666666666667,1,6,4.66666666666667,0.0324734299516908,0.045,0.260869565217391,0.197646025472112,"KNM","KNM"
"81","Br10 1","Br8 1",0.5,0.5,7,4.66666666666667,0.0233269653052262,0.0242424242424243,0.318181818181818,0.199262187088274,"KNM","KNM"
"82","Br10 1","Br8 2",0.866666666666667,1,8,5.16666666666667,0.0365386473429952,0.0420289855072464,0.333333333333333,0.21792380324989,"KNM","KNM"
"83","Br10 1","Br9 1",0.766666666666667,0.5,6,4.66666666666667,0.0329191919191919,0.0208333333333333,0.272727272727273,0.197773386034256,"KNM","KNM"
"84","Br10 1","Br9 2",1.24,2,7,5.2,0.0500163372859025,0.0833333333333333,0.28,0.217660079051383,"KNM","KNM"
"85","Br10 1","Ukn B",1.92,2,10,6.4,0.0825127799736496,0.0733333333333333,0.416666666666667,0.271781291172596,"Ukn","KNM"
"86","Br10 1","Ukn C",0.600000000000001,1,6,4.66666666666667,0.0255937637241985,0.0375,0.260869565217391,0.197392402283707,"Ukn","KNM"
"87","Br10 1","Ukn D",0.733333333333333,1,9,5.33333333333333,0.0314534475186649,0.0389492753623188,0.409090909090909,0.225575318401405,"Ukn","KNM"
"88","Br10 1","Ukn E",0.833333333333333,1,8,5,0.0357624066754502,0.0416666666666667,0.32,0.211586517347387,"Ukn","KNM"
"89","Br10 1","Ukn F",0.833333333333333,1,6,4.83333333333333,0.0346805006587615,0.0375,0.272727272727273,0.204336846728151,"Ukn","KNM"
"90","Br10 1","Ukn H",1,0.5,7,4.66666666666667,0.0434549846288977,0.0233333333333333,0.28,0.197749231444884,"Ukn","KNM"
"91","Br10 1","Ukn J",0.566666666666666,1,8,4.83333333333333,0.0234385155906895,0.0389492753623188,0.333333333333333,0.203757136583224,"Ukn","KNM"
"92","Br10 1","Ukn L",0.7,0.5,7,4.5,0.0292018006148441,0.0275757575757576,0.291666666666667,0.189844093104963,"Ukn","KNM"
"93","Br10 1","Ukn M",0.366666666666667,0,6,4.16666666666667,0.0151062801932367,0.00362318840579709,0.25,0.176232981993852,"Ukn","KNM"
"94","Br10 1","Ukn Q",10.2,12,21,14.4,0.426220026350461,0.513333333333333,0.875,0.603160737812912,"Ukn","KM"
"95","Br10 1","Ukn S",0.633333333333333,0.5,7,4.5,0.0269497145366711,0.0236231884057971,0.304347826086957,0.190475406236276,"Ukn","KNM"
"96","Br10 1","Ukn U",1.16666666666667,1,11,5.33333333333333,0.0501455862977602,0.0420289855072464,0.458333333333333,0.226130873956961,"Ukn","KNM"
"97","Br10 1","Ukn X",0.866666666666667,0.5,8,5.16666666666667,0.0366225296442688,0.0284090909090909,0.347826086956522,0.218551822573562,"Ukn","KNM"
"98","Br10 1","Ukn Y",1.13333333333333,1,7,5.16666666666667,0.0461418533157664,0.0492424242424243,0.291666666666667,0.216764382960035,"Ukn","KNM"
"99","Br10 1","Ukn Z",0.9,1,10,5.16666666666667,0.039286341677646,0.0338768115942029,0.434782608695652,0.220064778216952,"Ukn","KNM"
"100","Br10 2","Br2 1",0.366666666666667,0.5,7,4.16666666666667,0.0160024154589372,0.0244565217391305,0.291666666666667,0.176328502415459,"KNM","KNM"
"101","Br10 2","Br2 2",0.233333333333333,0.5,8,4.33333333333333,0.00966183574879229,0.0244565217391305,0.333333333333333,0.182971014492754,"KNM","KNM"
"102","Br10 2","Br3 1",0.72,1,6,4.4,0.0296376811594203,0.0416666666666667,0.25,0.185144927536232,"KNM","KNM"
"103","Br10 2","Br3 2",1,0.5,7,4.83333333333333,0.0427536231884058,0.0244565217391305,0.304347826086957,0.204710144927536,"KNM","KNM"
"104","Br10 2","Br4 1",0.966666666666667,1,9,5.16666666666667,0.0405193236714976,0.0452898550724638,0.375,0.217693236714976,"KNM","KNM"
"105","Br10 2","Br4 2",0.966666666666667,1,7,5,0.041304347826087,0.0461956521739131,0.291666666666667,0.211654589371981,"KNM","KNM"
"106","Br10 2","Br5 1",1.33333333333333,1,8,5.33333333333333,0.0572463768115942,0.0416666666666667,0.347826086956522,0.226147342995169,"KNM","KNM"
"107","Br10 2","Br5 2",1.26666666666667,1.5,7,5,0.053683574879227,0.0643115942028986,0.291666666666667,0.211352657004831,"KNM","KNM"
"108","Br10 2","Br6 1",1.06666666666667,0,8,4.83333333333333,0.0444444444444444,0.00724637681159421,0.333333333333333,0.203804347826087,"KNM","KNM"
"109","Br10 2","Br6 2",1.4,1,7,5.4,0.0577536231884058,0.0507246376811594,0.291666666666667,0.226811594202899,"KNM","KNM"
"110","Br10 2","Br7 1",0.4,0.5,7,4.33333333333333,0.0178140096618357,0.0253623188405797,0.291666666666667,0.183876811594203,"KNM","KNM"
"111","Br10 2","Br7 2",0.766666666666667,1,6,5,0.0317632850241546,0.0380434782608696,0.260869565217391,0.210748792270531,"KNM","KNM"
"112","Br10 2","Br8 1",0.4,0.5,6,4.5,0.0176328502415459,0.0208333333333333,0.260869565217391,0.190821256038647,"KNM","KNM"
"113","Br10 2","Br8 2",0.666666666666667,1,6,4.66666666666667,0.0284420289855072,0.0461956521739131,0.260869565217391,0.197463768115942,"KNM","KNM"
"114","Br10 2","Br9 1",0.5,1,6,4.5,0.0217995169082126,0.0416666666666667,0.25,0.190519323671498,"KNM","KNM"
"115","Br10 2","Br9 2",0.399999999999999,1,6,4.6,0.017536231884058,0.0344202898550725,0.260869565217391,0.194927536231884,"KNM","KNM"
"116","Br10 2","Ukn B",0.92,1,7,5,0.0370289855072464,0.0416666666666667,0.291666666666667,0.209420289855072,"Ukn","KNM"
"117","Br10 2","Ukn C",0.4,0,6,4.33333333333333,0.0166062801932367,0.00724637681159421,0.25,0.182971014492754,"Ukn","KNM"
"118","Br10 2","Ukn D",0.766666666666667,1,8,5.16666666666667,0.0329710144927536,0.0380434782608696,0.333333333333333,0.218599033816425,"Ukn","KNM"
"119","Br10 2","Ukn E",1.36666666666667,1.5,7,4.83333333333333,0.0581521739130435,0.0606884057971015,0.304347826086957,0.204710144927536,"Ukn","KNM"
"120","Br10 2","Ukn F",1.16666666666667,1,7,5,0.0479468599033816,0.0416666666666667,0.291666666666667,0.210446859903382,"Ukn","KNM"
"121","Br10 2","Ukn H",0.566666666666667,1,8,4.16666666666667,0.0234299516908213,0.0398550724637681,0.347826086956522,0.175724637681159,"Ukn","KNM"
"122","Br10 2","Ukn J",0.833333333333333,1,7,5,0.0354468599033816,0.0416666666666667,0.291666666666667,0.211352657004831,"Ukn","KNM"
"123","Br10 2","Ukn L",0.9,1.5,7,4.5,0.0393115942028985,0.0570652173913044,0.304347826086957,0.191425120772947,"Ukn","KNM"
"124","Br10 2","Ukn M",1.43333333333333,1,7,5.16666666666667,0.0605072463768116,0.0416666666666667,0.291666666666667,0.218297101449275,"Ukn","KNM"
"125","Br10 2","Ukn Q",11.8,14,21,15.8,0.497826086956522,0.615942028985507,0.875,0.666666666666667,"Ukn","KM"
"126","Br10 2","Ukn S",1.36666666666667,1,9,5.33333333333333,0.0594806763285024,0.0416666666666667,0.391304347826087,0.227053140096618,"Ukn","KNM"
"127","Br10 2","Ukn U",0.733333333333333,1,7,4.83333333333333,0.0307971014492754,0.0416666666666667,0.304347826086957,0.204106280193237,"Ukn","KNM"
"128","Br10 2","Ukn X",1.66666666666667,1.5,7,5.5,0.0709541062801932,0.0679347826086956,0.304347826086957,0.233091787439614,"Ukn","KNM"
"129","Br10 2","Ukn Y",0.7,0.5,7,4.66666666666667,0.0300724637681159,0.0244565217391305,0.291666666666667,0.197765700483092,"Ukn","KNM"
"130","Br10 2","Ukn Z",0.966666666666667,1,8,5.16666666666667,0.0408816425120773,0.0452898550724638,0.333333333333333,0.218297101449275,"Ukn","KNM"
"131","Br2 1","Br2 2",12.6333333333333,13,20,16.5,0.522850241545894,0.5325,0.869565217391304,0.68298309178744,"KM","KM"
"132","Br2 1","Br3 1",0.48,0,6,4.2,0.0189826086956522,0.00666666666666665,0.260869565217391,0.173420289855072,"KNM","KNM"
"133","Br2 1","Br3 2",0.466666666666666,0.5,6,4.33333333333333,0.0187995169082126,0.0241666666666667,0.260869565217391,0.179239130434783,"KNM","KNM"
"134","Br2 1","Br4 1",0.533333333333333,0.5,7,4.66666666666667,0.0223768115942029,0.0208333333333333,0.291666666666667,0.193478260869565,"KNM","KNM"
"135","Br2 1","Br4 2",0.666666666666667,0,10,4.66666666666667,0.0263429951690821,0,0.4,0.191763285024155,"KNM","KNM"
"136","Br2 1","Br5 1",2.06666666666667,2,10,5.5,0.0855338164251208,0.0878623188405797,0.416666666666667,0.227898550724638,"KNM","KNM"
"137","Br2 1","Br5 2",1.4,1.5,8,4.83333333333333,0.0593550724637681,0.0591666666666667,0.333333333333333,0.201256038647343,"KNM","KNM"
"138","Br2 1","Br6 1",0.966666666666667,1,7,5,0.0397826086956522,0.0483333333333333,0.291666666666667,0.206763285024155,"KNM","KNM"
"139","Br2 1","Br6 2",1.08,2,8,4.8,0.0434115942028986,0.0778985507246377,0.333333333333333,0.197420289855072,"KNM","KNM"
"140","Br2 1","Br7 1",1.36666666666667,1,9,5.33333333333333,0.0562222222222222,0.0366666666666667,0.375,0.220652173913043,"KNM","KNM"
"141","Br2 1","Br7 2",0.6,0,6,4.33333333333333,0.0234057971014493,0,0.260869565217391,0.178405797101449,"KNM","KNM"
"142","Br2 1","Br8 1",1.36666666666667,1.5,9,5.5,0.0578333333333333,0.0608333333333334,0.391304347826087,0.229106280193237,"KNM","KNM"
"143","Br2 1","Br8 2",1.33333333333333,1,9,5.16666666666667,0.0576111111111111,0.0528623188405797,0.375,0.216026570048309,"KNM","KNM"
"144","Br2 1","Br9 1",1.26666666666667,1,7,5.16666666666667,0.0534516908212561,0.0483333333333333,0.291666666666667,0.214867149758454,"KNM","KNM"
"145","Br2 1","Br9 2",0.72,0,7,4.6,0.0311159420289855,0.00724637681159421,0.304347826086957,0.191869565217391,"KNM","KNM"
"146","Br2 1","Ukn B",0.56,1,8,4.6,0.0248782608695652,0.0139130434782609,0.347826086956522,0.192565217391304,"Ukn","KNM"
"147","Br2 1","Ukn C",0.4,0.5,6,4.5,0.0175483091787439,0.0175,0.260869565217391,0.187089371980676,"Ukn","KNM"
"148","Br2 1","Ukn D",2.26666666666667,2,8,6,0.0946062801932367,0.085,0.347826086956522,0.249359903381643,"Ukn","KNM"
