"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",11.7666666666667,15.5,22,15.1666666666667,0.499444444444444,0.645833333333333,0.916666666666667,0.644444444444444,"KM","KM"
"2","Br1 1","Br10 1",0.466666666666667,0,5,3.33333333333333,0.02,0.0125,0.208333333333333,0.143055555555556,"KNM","KNM"
"3","Br1 1","Br10 2",0.833333333333333,0.5,6,3.66666666666667,0.0341666666666667,0.0208333333333333,0.25,0.155555555555556,"KNM","KNM"
"4","Br1 1","Br2 1",0.6,0,8,3.66666666666667,0.0286111111111111,0.0125,0.333333333333333,0.159722222222222,"KNM","KNM"
"5","Br1 1","Br2 2",0.866666666666667,0.5,7,4,0.0358333333333333,0.0333333333333333,0.291666666666667,0.170833333333333,"KNM","KNM"
"6","Br1 1","Br3 1",0.92,0,7,4,0.039,0,0.291666666666667,0.17,"KNM","KNM"
"7","Br1 1","Br3 2",1.83333333333333,2,8,5,0.08,0.104166666666667,0.333333333333333,0.215277777777778,"KNM","KNM"
"8","Br1 1","Br4 1",0.233333333333333,0,5,3.16666666666667,0.00972222222222222,0.0125,0.208333333333333,0.136111111111111,"KNM","KNM"
"9","Br1 1","Br4 2",0.766666666666667,0.5,6,3.66666666666667,0.0330555555555556,0.0208333333333333,0.25,0.158333333333333,"KNM","KNM"
"10","Br1 1","Br5 1",0.433333333333333,0.5,10,4,0.0202777777777778,0.00833333333333333,0.416666666666667,0.172222222222222,"KNM","KNM"
"11","Br1 1","Br5 2",1,0.5,9,4,0.0416666666666667,0.0208333333333333,0.375,0.170833333333333,"KNM","KNM"
"12","Br1 1","Br6 1",1.23333333333333,0.5,7,4.16666666666667,0.0522222222222222,0.0333333333333333,0.291666666666667,0.177777777777778,"KNM","KNM"
"13","Br1 1","Br6 2",0.72,1,5,3.6,0.0303333333333333,0.0416666666666667,0.208333333333333,0.153333333333333,"KNM","KNM"
"14","Br1 1","Br7 1",1.7,1.5,7,4.66666666666667,0.0716666666666667,0.0625,0.291666666666667,0.198611111111111,"KNM","KNM"
"15","Br1 1","Br7 2",0.566666666666667,0.5,5,3.33333333333333,0.0258333333333333,0.0208333333333333,0.208333333333333,0.144444444444444,"KNM","KNM"
"16","Br1 1","Br8 1",0.633333333333333,0.5,6,3.66666666666667,0.0272222222222222,0.0333333333333333,0.25,0.156944444444444,"KNM","KNM"
