"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",10.5666666666667,13,19,14.1666666666667,0.455,0.579166666666667,0.791666666666667,0.609722222222222,"KM","KM"
"2","Br1 1","Br10 1",0.833333333333333,1.5,8,4.33333333333333,0.0366666666666667,0.0375,0.333333333333333,0.186111111111111,"KNM","KNM"
"3","Br1 1","Br10 2",0.433333333333333,0,5,3.5,0.0183333333333333,0.0125,0.208333333333333,0.15,"KNM","KNM"
"4","Br1 1","Br2 1",0.566666666666666,0.5,6,3.66666666666667,0.0241666666666667,0.0208333333333333,0.3,0.158333333333333,"KNM","KNM"
"5","Br1 1","Br2 2",0.333333333333333,0,6,3.5,0.0188888888888889,0.0125,0.3,0.154166666666667,"KNM","KNM"
"6","Br1 1","Br3 1",0.88,1,5,4,0.039,0.0416666666666667,0.208333333333333,0.173333333333333,"KNM","KNM"
"7","Br1 1","Br3 2",1.06666666666667,1,5,4.16666666666667,0.0458333333333333,0.0416666666666667,0.208333333333333,0.179166666666667,"KNM","KNM"
"8","Br1 1","Br4 1",0.3,1,6,3.66666666666667,0.0136111111111111,0.0416666666666667,0.25,0.158333333333333,"KNM","KNM"
"9","Br1 1","Br4 2",0.5,0.5,7,3.66666666666667,0.0213888888888889,0.0333333333333333,0.291666666666667,0.156944444444444,"KNM","KNM"
"10","Br1 1","Br5 1",1.23333333333333,1.5,5,4.5,0.0525,0.0791666666666667,0.208333333333333,0.193055555555556,"KNM","KNM"
"11","Br1 1","Br5 2",0.5,1,6,4,0.0208333333333333,0.0416666666666667,0.25,0.170833333333333,"KNM","KNM"
"12","Br1 1","Br6 1",0.333333333333333,0.5,5,3.66666666666667,0.0136111111111111,0.0333333333333333,0.208333333333333,0.156944444444444,"KNM","KNM"
"13","Br1 1","Br6 2",0.4,0,6,3.4,0.0173333333333333,0,0.25,0.146666666666667,"KNM","KNM"
"14","Br1 1","Br7 1",0.6,0.5,7,3.66666666666667,0.0269444444444444,0.0208333333333333,0.291666666666667,0.158333333333333,"KNM","KNM"
"15","Br1 1","Br7 2",1,1.5,6,4.33333333333333,0.0444444444444445,0.0625,0.25,0.1875,"KNM","KNM"
"16","Br1 1","Br8 1",0.533333333333334,1,5,3.83333333333333,0.0238888888888889,0.0583333333333333,0.208333333333333,0.165277777777778,"KNM","KNM"
"17","Br1 1","Br8 2",0.666666666666667,0.5,6,3.66666666666667,0.0269444444444444,0.0208333333333333,0.25,0.155555555555556,"KNM","KNM"
"18","Br1 1","Br9 1",0.266666666666667,0.5,7,3.83333333333333,0.0133333333333333,0.0333333333333333,0.291666666666667,0.165277777777778,"KNM","KNM"
"19","Br1 1","Br9 2",0.6,1,5,4,0.0263333333333333,0.0416666666666667,0.208333333333333,0.171666666666667,"KNM","KNM"
"20","Br1 1","Ukn B",0.4,1,6,3.6,0.0196666666666667,0.0416666666666667,0.25,0.156666666666667,"Ukn","KNM"
"21","Br1 1","Ukn C",11.3333333333333,11.5,22,15,0.478611111111111,0.479166666666667,0.916666666666667,0.636111111111111,"Ukn","KM"
"22","Br1 1","Ukn D",0.766666666666667,1,6,4,0.0322222222222222,0.0416666666666667,0.25,0.170833333333333,"Ukn","KNM"
