"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type_truth","type"
"1","Barrel 1 Bullet 1","Barrel 1 Bullet 2",5.16666666666667,5,7,6,0.770634920634921,0.785714285714286,1,0.896825396825397,"KM","KM"
"2","Barrel 1 Bullet 1","Barrel 10 Bullet 1",0.233333333333333,0,2,1.16666666666667,0.0333333333333333,0.0119047619047619,0.333333333333333,0.174603174603175,"KNM","KNM"
"3","Barrel 1 Bullet 1","Barrel 10 Bullet 2",0.08,0,2,1,0.0161904761904762,0,0.285714285714286,0.152380952380952,"KNM","KNM"
"4","Barrel 1 Bullet 1","Barrel 2 Bullet 1",0.3,0,2,1,0.0468253968253968,0,0.285714285714286,0.150793650793651,"KNM","KNM"
"5","Barrel 1 Bullet 1","Barrel 2 Bullet 2",0.36,0,2,1,0.0504761904761905,0,0.285714285714286,0.147619047619048,"KNM","KNM"
"6","Barrel 1 Bullet 1","Barrel 3 Bullet 1",0.5,0,3,1.25,0.0880952380952381,0.0119047619047619,0.5,0.202380952380952,"KNM","KNM"
"7","Barrel 1 Bullet 1","Barrel 3 Bullet 2",0.433333333333333,0,2,1.16666666666667,0.069047619047619,0,0.333333333333333,0.178571428571429,"KNM","KNM"
"8","Barrel 1 Bullet 1","Barrel 4 Bullet 1",0.333333333333333,0,2,1,0.053968253968254,0,0.333333333333333,0.154761904761905,"KNM","KNM"
"9","Barrel 1 Bullet 1","Barrel 4 Bullet 2",0.3,0,2,1,0.0476190476190476,0.0119047619047619,0.285714285714286,0.150793650793651,"KNM","KNM"
"10","Barrel 1 Bullet 1","Barrel 5 Bullet 1",0.266666666666667,0,2,0.833333333333333,0.0380952380952381,0,0.285714285714286,0.123015873015873,"KNM","KNM"
"11","Barrel 1 Bullet 1","Barrel 5 Bullet 2",0.166666666666667,0,2,1,0.026984126984127,0,0.285714285714286,0.150793650793651,"KNM","KNM"
"12","Barrel 1 Bullet 1","Barrel 6 Bullet 1",0.633333333333333,0,2,1.16666666666667,0.0976190476190476,0,0.333333333333333,0.178571428571429,"KNM","KNM"
"13","Barrel 1 Bullet 1","Barrel 6 Bullet 2",0.366666666666667,0,2,1,0.0563492063492063,0.0119047619047619,0.285714285714286,0.150793650793651,"KNM","KNM"
"14","Barrel 1 Bullet 1","Barrel 7 Bullet 1",0.3,0,2,1.16666666666667,0.0436507936507937,0.0119047619047619,0.333333333333333,0.174603174603175,"KNM","KNM"
"15","Barrel 1 Bullet 1","Barrel 7 Bullet 2",0.566666666666667,0.5,2,1.33333333333333,0.0928571428571428,0.0714285714285714,0.333333333333333,0.206349206349206,"KNM","KNM"
"16","Barrel 1 Bullet 1","Barrel 8 Bullet 1",0.44,0,2,1.2,0.0628571428571428,0.0238095238095238,0.285714285714286,0.176190476190476,"KNM","KNM"
"17","Barrel 1 Bullet 1","Barrel 8 Bullet 2",0.2,0,3,1.16666666666667,0.0238095238095238,0.0119047619047619,0.428571428571429,0.170634920634921,"KNM","KNM"
"18","Barrel 1 Bullet 1","Barrel 9 Bullet 1",0.333333333333333,0,2,1.16666666666667,0.0484126984126984,0.0238095238095238,0.285714285714286,0.174603174603175,"KNM","KNM"
"19","Barrel 1 Bullet 1","Barrel 9 Bullet 2",0.266666666666667,0,3,1.16666666666667,0.0357142857142857,0.0119047619047619,0.428571428571429,0.170634920634921,"KNM","KNM"
"20","Barrel 1 Bullet 1","Unknowns Bullet 'E'",0.28,0,2,1.2,0.0371428571428571,0.0238095238095238,0.285714285714286,0.176190476190476,"KNM","UKN"
"21","Barrel 1 Bullet 1","Unknowns Bullet 'F'",0.5,0,2,1.16666666666667,0.0746031746031746,0.0119047619047619,0.285714285714286,0.174603174603175,"KNM","UKN"
"22","Barrel 1 Bullet 1","Unknowns Bullet 'G'",0.233333333333333,0,2,1,0.0341269841269841,0.0119047619047619,0.333333333333333,0.150793650793651,"KNM","UKN"
"23","Barrel 1 Bullet 1","Unknowns Bullet 'H'",0.533333333333333,0,2,1.16666666666667,0.0825396825396825,0.0119047619047619,0.285714285714286,0.174603174603175,"KNM","UKN"
"24","Barrel 1 Bullet 1","Unknowns Bullet 'I'",0.36,1,3,1,0.0723809523809524,0.142857142857143,0.5,0.166666666666667,"KNM","UKN"
"25","Barrel 1 Bullet 1","Unknowns Bullet 'J'",0.666666666666667,0,4,1.33333333333333,0.0976190476190476,0.0119047619047619,0.571428571428571,0.198412698412698,"KNM","UKN"
"26","Barrel 1 Bullet 1","Unknowns Bullet 'K'",4.76666666666667,5,6,5.5,0.711904761904762,0.714285714285714,1,0.821428571428571,"KM","UKN"
"27","Barrel 1 Bullet 1","Unknowns Bullet 'L'",0.3,0,2,1,0.046031746031746,0.0119047619047619,0.333333333333333,0.150793650793651,"KNM","UKN"
"28","Barrel 1 Bullet 1","Unknowns Bullet 'O'",0.233333333333333,0,2,1,0.0325396825396825,0.0119047619047619,0.285714285714286,0.146825396825397,"KNM","UKN"
"29","Barrel 1 Bullet 1","Unknowns Bullet 'P'",0.166666666666667,0,2,0.833333333333333,0.0261904761904762,0,0.333333333333333,0.126984126984127,"KNM","UKN"
"30","Barrel 1 Bullet 1","Unknowns Bullet 'S'",0.266666666666667,0,2,1.16666666666667,0.0396825396825397,0.0119047619047619,0.333333333333333,0.174603174603175,"KNM","UKN"
"31","Barrel 1 Bullet 1","Unknowns Bullet 'T'",0.4,0,1,1,0.0595238095238095,0,0.166666666666667,0.150793650793651,"KNM","UKN"
"32","Barrel 1 Bullet 1","Unknowns Bullet 'U'",0.366666666666667,0,2,1.16666666666667,0.0523809523809524,0.0119047619047619,0.333333333333333,0.174603174603175,"KNM","UKN"
"33","Barrel 1 Bullet 1","Unknowns Bullet 'X'",0.5,0,2,1.33333333333333,0.073015873015873,0.0238095238095238,0.285714285714286,0.198412698412698,"KNM","UKN"
"34","Barrel 1 Bullet 1","Unknowns Bullet 'Y'",0.166666666666667,0,2,1,0.0293650793650794,0.0119047619047619,0.333333333333333,0.154761904761905,"KNM","UKN"
"35","Barrel 1 Bullet 2","Barrel 10 Bullet 1",0.6,0,2,1.33333333333333,0.0968253968253968,0.0119047619047619,0.333333333333333,0.206349206349206,"KNM","KNM"
"36","Barrel 1 Bullet 2","Barrel 10 Bullet 2",0.16,0,2,1,0.0266666666666667,0,0.333333333333333,0.152380952380952,"KNM","KNM"
"37","Barrel 1 Bullet 2","Barrel 2 Bullet 1",0.233333333333333,0,2,1,0.0373015873015873,0,0.285714285714286,0.150793650793651,"KNM","KNM"
"38","Barrel 1 Bullet 2","Barrel 2 Bullet 2",0.24,0,2,1,0.04,0.0238095238095238,0.285714285714286,0.152380952380952,"KNM","KNM"
"39","Barrel 1 Bullet 2","Barrel 3 Bullet 1",0.35,0,2,1,0.0452380952380952,0,0.285714285714286,0.142857142857143,"KNM","KNM"
"40","Barrel 1 Bullet 2","Barrel 3 Bullet 2",0.1,0,2,0.833333333333333,0.0166666666666667,0,0.333333333333333,0.126984126984127,"KNM","KNM"
"41","Barrel 1 Bullet 2","Barrel 4 Bullet 1",0.133333333333333,0,2,1,0.0198412698412699,0.0119047619047619,0.285714285714286,0.150793650793651,"KNM","KNM"
